return,max_dd,worst_day,wins,losses,trades,max_open,pair,window,period
-2.2498295189718776,-2.6144720128081387,-0.6198354765147407,6,14,20,1,XLF/SKF,next_day,in_sample
-0.0008807714668073458,-2.138554679998432,-0.7229695058215135,8,12,20,3,XLF/SKF,end_of_week,in_sample
7.375677312662185,-3.380830127793219,-1.965875657978966,17,3,20,11,XLF/SKF,thirty_day,in_sample
0.179670961693977,-3.045198070294906,-0.7690658072159406,9,11,20,1,QQQ/SQQQ,next_day,in_sample
1.81729030268536,-2.9588566333240363,-1.2900391129221922,11,9,20,3,QQQ/SQQQ,end_of_week,in_sample
8.226784347084045,-6.656077171553651,-3.5044039725448006,16,4,20,11,QQQ/SQQQ,thirty_day,in_sample
-0.5029706828782801,-2.28765002171217,-0.6788881127643975,9,11,20,1,IWM/TZA,next_day,in_sample
2.8623367813935476,-2.8839527473797073,-2.20402987594428,11,9,20,3,IWM/TZA,end_of_week,in_sample
3.639820480361232,-6.66820935410895,-5.910170647747948,12,8,20,11,IWM/TZA,thirty_day,in_sample
-0.20844014204788255,-0.7389945662837594,-0.18197370448330696,10,10,20,1,SPY/SH,next_day,in_sample
0.43099747781112097,-0.7172588216569094,-0.3755727262632069,12,8,20,3,SPY/SH,end_of_week,in_sample
2.491890767556659,-1.7369473426701834,-1.002204904846682,16,4,20,11,SPY/SH,thirty_day,in_sample
-0.22605663873101,-1.9921720365401616,-0.5208615510868375,10,10,20,1,SPY/SPXU,next_day,in_sample
1.5392288885330345,-2.031373277834545,-1.1577883314368709,12,8,20,3,SPY/SPXU,end_of_week,in_sample
6.993248848637609,-5.292785920539951,-3.0744967349289998,16,4,20,11,SPY/SPXU,thirty_day,in_sample
-0.5029706828782801,-2.28765002171217,-0.6788881127643975,9,11,20,1,TNA/TZA,next_day,in_sample
2.8623367813935476,-2.8839527473797073,-2.20402987594428,11,9,20,3,TNA/TZA,end_of_week,in_sample
3.639820480361232,-6.66820935410895,-5.910170647747948,12,8,20,11,TNA/TZA,thirty_day,in_sample
0.179670961693977,-3.045198070294906,-0.7690658072159406,9,11,20,1,TQQQ/SQQQ,next_day,in_sample
1.81729030268536,-2.9588566333240363,-1.2900391129221922,11,9,20,3,TQQQ/SQQQ,end_of_week,in_sample
8.226784347084045,-6.656077171553651,-3.5044039725448006,16,4,20,11,TQQQ/SQQQ,thirty_day,in_sample
-0.6469137039918132,-0.9152764460552054,-0.4432221232532063,2,4,6,1,XLF/SKF,next_day,oos
-1.226547333715338,-1.6942479385330742,-0.5223445925877646,3,3,6,3,XLF/SKF,end_of_week,oos
-4.657920248983282,-6.096085328127203,-1.7953174982969333,0,6,6,6,XLF/SKF,thirty_day,oos
