pair,name,long_etf,inverse_etf,window,return,final,wins,losses,commissions
SPY/SH,S&P 500 / Short S&P,SPY,SH,next_day,0.11086331241266453,100110.86331241266,8,5,128.70000000000002
SPY/SH,S&P 500 / Short S&P,SPY,SH,end_of_week,0.37823610622560955,100378.23610622561,7,6,128.70000000000002
SPY/SH,S&P 500 / Short S&P,SPY,SH,thirty_day,2.2061173982659095,102206.11739826591,10,3,128.70000000000002
SPY/SPXU,S&P 500 / 3x Inv S&P,SPY,SPXU,next_day,0.40619168298976727,100406.19168298977,8,5,128.70000000000002
SPY/SPXU,S&P 500 / 3x Inv S&P,SPY,SPXU,end_of_week,1.0752888681570476,101075.28886815705,7,6,128.70000000000002
SPY/SPXU,S&P 500 / 3x Inv S&P,SPY,SPXU,thirty_day,6.249032399015501,106249.0323990155,10,3,128.70000000000002
QQQ/SQQQ,Nasdaq / 3x Inv Nasdaq,QQQ,SQQQ,next_day,0.7291936424755259,100729.19364247553,8,5,128.70000000000002
QQQ/SQQQ,Nasdaq / 3x Inv Nasdaq,QQQ,SQQQ,end_of_week,1.5210812511309195,101521.08125113092,8,5,128.70000000000002
QQQ/SQQQ,Nasdaq / 3x Inv Nasdaq,QQQ,SQQQ,thirty_day,8.594217217157638,108594.21721715764,10,3,128.70000000000002
IWM/TZA,Russell 2000 / 3x Inv Russell,IWM,TZA,next_day,0.41446009959842195,100414.46009959842,7,6,128.70000000000002
IWM/TZA,Russell 2000 / 3x Inv Russell,IWM,TZA,end_of_week,1.9498944772612306,101949.89447726123,7,6,128.70000000000002
IWM/TZA,Russell 2000 / 3x Inv Russell,IWM,TZA,thirty_day,8.198352706196703,108198.3527061967,8,5,128.70000000000002
IWM/RWM,Russell 2000 / Inv Russell,IWM,RWM,next_day,0.19974497322032403,100199.74497322032,7,6,128.70000000000002
IWM/RWM,Russell 2000 / Inv Russell,IWM,RWM,end_of_week,0.8947225503370428,100894.72255033704,7,6,128.70000000000002
IWM/RWM,Russell 2000 / Inv Russell,IWM,RWM,thirty_day,3.252550464060943,103252.55046406094,10,3,128.70000000000002
XLF/SKF,Financials / 2x Inv Financials,XLF,SKF,next_day,0.7089655591089105,100708.96555910891,8,5,128.70000000000002
XLF/SKF,Financials / 2x Inv Financials,XLF,SKF,end_of_week,1.9719403999812493,101971.94039998125,8,5,128.70000000000002
XLF/SKF,Financials / 2x Inv Financials,XLF,SKF,thirty_day,11.737344061526716,111737.34406152672,12,1,128.70000000000002
XLE/ERY,Energy / 2x Inv Energy,XLE,ERY,next_day,-2.4517756627409835,97548.22433725902,3,10,128.70000000000002
XLE/ERY,Energy / 2x Inv Energy,XLE,ERY,end_of_week,-3.9702901264531825,96029.70987354682,2,11,128.70000000000002
XLE/ERY,Energy / 2x Inv Energy,XLE,ERY,thirty_day,-18.84522413129083,81154.77586870917,1,12,128.70000000000002
SMH/SOXS,Semiconductors / 3x Inv Semis,SMH,SOXS,next_day,0.10358439104416176,100103.58439104416,6,7,128.70000000000002
SMH/SOXS,Semiconductors / 3x Inv Semis,SMH,SOXS,end_of_week,0.5821405192995445,100582.14051929954,7,6,128.70000000000002
SMH/SOXS,Semiconductors / 3x Inv Semis,SMH,SOXS,thirty_day,-3.327963092486651,96672.03690751335,5,8,128.70000000000002
TQQQ/SQQQ,3x Nasdaq / 3x Inv Nasdaq,TQQQ,SQQQ,next_day,0.8605017606910842,100860.50176069108,8,5,128.70000000000002
TQQQ/SQQQ,3x Nasdaq / 3x Inv Nasdaq,TQQQ,SQQQ,end_of_week,1.7415465092007216,101741.54650920072,8,5,128.70000000000002
TQQQ/SQQQ,3x Nasdaq / 3x Inv Nasdaq,TQQQ,SQQQ,thirty_day,7.986686997377691,107986.68699737769,10,3,128.70000000000002
TNA/TZA,3x Russell / 3x Inv Russell,TNA,TZA,next_day,0.9182734777721198,100918.27347777212,7,6,128.70000000000002
TNA/TZA,3x Russell / 3x Inv Russell,TNA,TZA,end_of_week,2.8141908916180545,102814.19089161805,7,6,128.70000000000002
TNA/TZA,3x Russell / 3x Inv Russell,TNA,TZA,thirty_day,9.000719235818643,109000.71923581864,8,5,128.70000000000002
SPXL/SPXU,3x S&P / 3x Inv S&P,SPXL,SPXU,next_day,0.5577980177193822,100557.79801771938,8,5,128.70000000000002
SPXL/SPXU,3x S&P / 3x Inv S&P,SPXL,SPXU,end_of_week,1.2763947321484448,101276.39473214844,7,6,128.70000000000002
SPXL/SPXU,3x S&P / 3x Inv S&P,SPXL,SPXU,thirty_day,6.116313229683656,106116.31322968366,10,3,128.70000000000002
