date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90383.49030761719,9628.07958984375,100011.56989746094,1
2026-01-06,90383.49030761719,9685.339965820312,100068.8302734375,1
2026-01-07,81353.92061767579,18714.299774169922,100068.22039184571,2
2026-01-08,81353.92061767579,18718.399787902832,100072.32040557862,2
2026-01-09,81353.92061767579,18723.819869995117,100077.7404876709,2
2026-01-12,81353.92061767579,18723.84001159668,100077.76062927247,2
2026-01-13,81353.92061767579,18724.700157165527,100078.62077484131,2
2026-01-14,73223.05075683595,26853.15972137451,100076.21047821046,3
2026-01-15,73223.05075683595,26840.92074584961,100063.97150268556,3
2026-01-16,73223.05075683595,26861.719329833984,100084.77008666993,3
2026-01-20,73223.05075683595,27016.45972442627,100239.51048126222,3
2026-01-21,65931.85075683595,34149.45086288452,100081.30161972047,4
2026-01-22,59354.42053222658,40649.63827133179,100004.05880355836,5
2026-01-23,59354.42053222658,40661.8101234436,100016.23065567018,5
2026-01-26,59354.42053222658,40563.41840362549,99917.83893585207,5
2026-01-27,59354.42053222658,40480.67906951904,99835.09960174562,5
2026-01-28,53439.34063415529,46401.518814086914,99840.8594482422,6
2026-01-29,48121.3909088135,51807.7587890625,99929.149697876,7
2026-01-30,48121.3909088135,51932.699951171875,100054.09085998537,7
2026-02-02,48121.3909088135,51767.73962402344,99889.13053283693,7
2026-02-03,48121.3909088135,52064.300048828125,100185.69095764162,7
2026-02-04,51959.18086929324,48420.0,100379.18086929324,7
2026-02-05,51959.18086929324,49025.251026153564,100984.4318954468,7
2026-02-06,61037.270442962676,39014.158168792725,100051.4286117554,6
2026-02-09,61037.270442962676,38828.69016647339,99865.96060943606,6
2026-02-10,61037.270442962676,38959.60900115967,99996.87944412234,6
2026-02-11,61037.270442962676,38959.60900115967,99996.87944412234,6
2026-02-12,54943.01033859256,45785.358459472656,100728.36879806522,7
2026-02-13,63207.62044296268,37503.18047332764,100710.80091629032,6
2026-02-17,63207.62044296268,37451.48126220703,100659.10170516971,6
2026-02-18,63207.62044296268,37265.36094665527,100472.98138961795,6
2026-02-19,63207.62044296268,37368.759368896484,100576.37981185917,6
2026-02-20,70418.57074966434,29904.70127105713,100323.27202072147,5
2026-02-23,77087.30083389286,23539.230297088623,100626.53113098149,4
2026-02-24,69386.75099563603,30996.0,100382.75099563603,5
2026-02-25,69386.75099563603,30746.309211730957,100133.06020736699,5
2026-02-26,69386.75099563603,30927.118423461914,100313.86941909794,5
2026-02-27,75410.50074081426,25053.39894104004,100463.8996818543,4
2026-03-02,80822.050832367,19643.84033203125,100465.89116439824,3
2026-03-03,80822.050832367,19812.47900390625,100634.52983627324,3
2026-03-04,80822.050832367,19676.47900390625,100498.52983627324,3
2026-03-05,80822.050832367,19790.720581054688,100612.77141342168,3
2026-03-06,86753.17066040044,14121.209590911865,100874.38025131231,2
2026-03-09,86753.17066040044,14002.480525970459,100755.6511863709,2
2026-03-10,78074.02102203375,22710.600662231445,100784.62168426519,3
2026-03-11,78074.02102203375,22735.398864746094,100809.41988677984,3
2026-03-12,78074.02102203375,23095.0,101169.02102203375,3
2026-03-13,101296.77073822028,0.0,101296.77073822028,0
