date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90383.49030761719,9628.07958984375,100011.56989746094,1
2026-01-06,90383.49030761719,9685.339965820312,100068.8302734375,1
2026-01-07,81376.47010574341,18756.3602104187,100132.83031616212,2
2026-01-08,81376.47010574341,18766.72036743164,100143.19047317505,2
2026-01-09,81376.47010574341,18658.570362091064,100035.04046783448,2
2026-01-12,81376.47010574341,18634.139335632324,100010.60944137574,2
2026-01-13,81376.47010574341,18669.490158081055,100045.96026382447,2
2026-01-14,73262.90018310548,26884.839248657227,100147.7394317627,3
2026-01-15,73262.90018310548,26775.12030029297,100038.02048339845,3
2026-01-16,73262.90018310548,26842.179733276367,100105.07991638184,3
2026-01-20,73262.90018310548,27697.57985687256,100960.48003997804,3
2026-01-21,65947.05044860841,34297.93064880371,100244.98109741212,4
2026-01-22,59390.98069763185,40547.76011657715,99938.740814209,5
2026-01-23,59390.98069763185,40564.040409088135,99955.02110671999,5
2026-01-26,59390.98069763185,40140.17933654785,99531.1600341797,5
2026-01-27,59390.98069763185,39827.36996078491,99218.35065841676,5
2026-01-28,53487.970524597185,45782.67894363403,99270.64946823122,6
2026-01-29,48175.410386657735,51377.66036224365,99553.07074890139,7
2026-01-30,48175.410386657735,51770.119857788086,99945.53024444582,7
2026-02-02,48175.410386657735,51168.558418273926,99343.96880493166,7
2026-02-03,48175.410386657735,52174.960678100586,100350.37106475832,7
2026-02-04,52025.660311889675,48992.57939147949,101018.23970336917,7
2026-02-05,52025.660311889675,50876.908782958984,102902.56909484866,7
2026-02-06,61113.50042724612,38872.88049316406,99986.38092041019,6
2026-02-09,61113.50042724612,38363.83963012695,99477.34005737308,6
2026-02-10,61113.50042724612,38687.04086303711,99800.54129028323,6
2026-02-11,61113.50042724612,38703.201232910156,99816.70166015628,6
2026-02-12,55034.950329589876,46940.401428222656,101975.35175781253,7
2026-02-13,63503.660226440465,38457.37953186035,101961.03975830082,6
2026-02-17,63503.660226440465,38273.30117034912,101776.96139678959,6
2026-02-18,63503.660226440465,37721.060234069824,101224.72046051029,6
2026-02-19,63503.660226440465,37997.18070220947,101500.84092864994,6
2026-02-20,70539.91042556766,30204.32085418701,100744.23127975468,5
2026-02-23,77341.7603218079,24324.299629211426,101666.05995101933,4
2026-02-24,69607.55053329472,31334.3994140625,100941.94994735722,5
2026-02-25,69607.55053329472,30566.39892578125,100173.94945907597,5
2026-02-26,69607.55053329472,31091.201171875,100698.75170516972,5
2026-02-27,75813.14064865117,25335.060470581055,101148.20111923222,4
2026-03-02,81376.83051071172,19761.279510498047,101138.11002120977,3
2026-03-03,81376.83051071172,20298.61957168579,101675.45008239751,3
2026-03-04,81376.83051071172,19865.540367126465,101242.37087783818,3
2026-03-05,81376.83051071172,20194.360244750977,101571.1907554627,3
2026-03-06,87609.86029281621,14782.439483642578,102392.29977645879,2
2026-03-09,87609.86029281621,14398.920387268066,102008.78068008428,2
2026-03-10,78846.29008407598,23261.549308776855,102107.83939285284,3
2026-03-11,78846.29008407598,23356.68062210083,102202.97070617681,3
2026-03-12,78846.29008407598,24425.759170532227,103272.04925460821,3
2026-03-13,103701.14077529914,0.0,103701.14077529914,0
