date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90026.34974365235,10321.50032043457,100347.85006408692,1
2026-01-06,90026.34974365235,10720.499839782715,100746.84958343506,1
2026-01-07,81024.19992456437,19748.3997797966,100772.59970436097,2
2026-01-08,81024.19992456437,19800.99967956543,100825.1996041298,2
2026-01-09,100865.00045795442,0.0,100865.00045795442,0
2026-01-12,100865.00045795442,0.0,100865.00045795442,0
2026-01-13,100865.00045795442,0.0,100865.00045795442,0
2026-01-14,90773.7501525879,9862.159755706787,100635.90990829469,1
2026-01-15,90773.7501525879,9606.0,100379.7501525879,1
2026-01-16,100358.78978614809,0.0,100358.78978614809,0
2026-01-20,100358.78978614809,0.0,100358.78978614809,0
2026-01-21,90318.47988090517,9687.599842071533,100006.0797229767,1
2026-01-22,81287.37021198275,18498.479321479797,99785.84953346255,2
2026-01-23,100778.49089050296,0.0,100778.49089050296,0
2026-01-26,100778.49089050296,0.0,100778.49089050296,0
2026-01-27,100778.49089050296,0.0,100778.49089050296,0
2026-01-28,90701.14082603458,10393.50016117096,101094.64098720554,1
2026-01-29,81628.18059883121,19519.05957555771,101147.24017438892,2
2026-01-30,102027.46084136967,0.0,102027.46084136967,0
2026-02-02,102027.46084136967,0.0,102027.46084136967,0
2026-02-03,102027.46084136967,0.0,102027.46084136967,0
2026-02-04,91821.76058578496,10636.249840259552,102458.01042604451,1
2026-02-05,91821.76058578496,11205.750095844269,103027.51068162922,1
2026-02-06,101816.56023435597,0.0,101816.56023435597,0
2026-02-09,101816.56023435597,0.0,101816.56023435597,0
2026-02-10,101816.56023435597,0.0,101816.56023435597,0
2026-02-11,101816.56023435597,0.0,101816.56023435597,0
2026-02-12,91632.48996839528,11085.480232715607,102717.97020111089,1
2026-02-13,102294.69976892477,0.0,102294.69976892477,0
2026-02-17,102294.69976892477,0.0,102294.69976892477,0
2026-02-18,102294.69976892477,0.0,102294.69976892477,0
2026-02-19,102294.69976892477,0.0,102294.69976892477,0
2026-02-20,102294.69976892477,0.0,102294.69976892477,0
2026-02-23,102294.69976892477,0.0,102294.69976892477,0
2026-02-24,92064.84945936209,9884.070247650146,101948.91970701223,1
2026-02-25,92064.84945936209,9754.23037147522,101819.0798308373,1
2026-02-26,92064.84945936209,9624.389721393585,101689.23918075567,1
2026-02-27,102171.18949031836,0.0,102171.18949031836,0
2026-03-02,102171.18949031836,0.0,102171.18949031836,0
2026-03-03,102171.18949031836,0.0,102171.18949031836,0
2026-03-04,102171.18949031836,0.0,102171.18949031836,0
2026-03-05,102171.18949031836,0.0,102171.18949031836,0
2026-03-06,102171.18949031836,0.0,102171.18949031836,0
2026-03-09,102171.18949031836,0.0,102171.18949031836,0
2026-03-10,91949.87923316962,10171.419942855835,102121.29917602545,1
2026-03-11,91949.87923316962,10246.32022857666,102196.19946174628,1
2026-03-12,91949.87923316962,10920.419942855835,102870.29917602545,1
2026-03-13,103000.16940460211,0.0,103000.16940460211,0
