date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90026.34974365235,10321.50032043457,100347.85006408692,1
2026-01-06,100741.89958343506,0.0,100741.89958343506,0
2026-01-07,90664.06978597642,10194.239681720734,100858.30946769715,1
2026-01-08,100519.61978597642,0.0,100519.61978597642,0
2026-01-09,100519.61978597642,0.0,100519.61978597642,0
2026-01-12,100519.61978597642,0.0,100519.61978597642,0
2026-01-13,100519.61978597642,0.0,100519.61978597642,0
2026-01-14,90466.16948175432,9825.199756622314,100291.36923837663,1
2026-01-15,100031.21948175432,0.0,100031.21948175432,0
2026-01-16,100031.21948175432,0.0,100031.21948175432,0
2026-01-20,100031.21948175432,0.0,100031.21948175432,0
2026-01-21,90027.26957616808,9652.499842643738,99679.76941881182,1
2026-01-22,89514.00959463122,9941.359635353088,99455.36922998431,1
2026-01-23,99989.19995927814,0.0,99989.19995927814,0
2026-01-26,99989.19995927814,0.0,99989.19995927814,0
2026-01-27,99989.19995927814,0.0,99989.19995927814,0
2026-01-28,89989.32989530567,10313.550159931183,100302.88005523685,1
2026-01-29,90252.06942024235,10106.43978023529,100358.50920047764,1
2026-01-30,100814.43954582218,0.0,100814.43954582218,0
2026-02-02,100814.43954582218,0.0,100814.43954582218,0
2026-02-03,100814.43954582218,0.0,100814.43954582218,0
2026-02-04,90730.53929328923,10509.2498421669,101239.78913545613,1
2026-02-05,101797.53938798909,0.0,101797.53938798909,0
2026-02-06,101797.53938798909,0.0,101797.53938798909,0
2026-02-09,101797.53938798909,0.0,101797.53938798909,0
2026-02-10,101797.53938798909,0.0,101797.53938798909,0
2026-02-11,101797.53938798909,0.0,101797.53938798909,0
2026-02-12,91613.4691220284,11085.480232715607,102698.949354744,1
2026-02-13,102275.67892255788,0.0,102275.67892255788,0
2026-02-17,102275.67892255788,0.0,102275.67892255788,0
2026-02-18,102275.67892255788,0.0,102275.67892255788,0
2026-02-19,102275.67892255788,0.0,102275.67892255788,0
2026-02-20,102275.67892255788,0.0,102275.67892255788,0
2026-02-23,102275.67892255788,0.0,102275.67892255788,0
2026-02-24,92045.8286129952,9884.070247650146,101929.89886064535,1
2026-02-25,101795.10898447043,0.0,101795.10898447043,0
2026-02-26,101795.10898447043,0.0,101795.10898447043,0
2026-02-27,101795.10898447043,0.0,101795.10898447043,0
2026-03-02,101795.10898447043,0.0,101795.10898447043,0
2026-03-03,101795.10898447043,0.0,101795.10898447043,0
2026-03-04,101795.10898447043,0.0,101795.10898447043,0
2026-03-05,101795.10898447043,0.0,101795.10898447043,0
2026-03-06,101795.10898447043,0.0,101795.10898447043,0
2026-03-09,101795.10898447043,0.0,101795.10898447043,0
2026-03-10,91614.71872835165,10130.679943084717,101745.39867143637,1
2026-03-11,101815.04895601279,0.0,101815.04895601279,0
2026-03-12,101815.04895601279,0.0,101815.04895601279,0
2026-03-13,101815.04895601279,0.0,101815.04895601279,0
