date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90017.810055542,10215.660194396973,100233.47024993897,1
2026-01-06,90017.810055542,10264.800277709961,100282.61033325196,1
2026-01-07,81024.11031303406,19353.52042579651,100377.63073883057,2
2026-01-08,81024.11031303406,19316.299962997437,100340.4102760315,2
2026-01-09,100352.07040138246,0.0,100352.07040138246,0
2026-01-12,100352.07040138246,0.0,100352.07040138246,0
2026-01-13,100352.07040138246,0.0,100352.07040138246,0
2026-01-14,90324.01037216188,9965.660175323486,100289.67054748537,1
2026-01-15,90324.01037216188,9885.229795455933,100209.24016761781,1
2026-01-16,100173.6501968384,0.0,100173.6501968384,0
2026-01-20,100173.6501968384,0.0,100173.6501968384,0
2026-01-21,90164.84031066897,9944.179943084717,100109.02025375368,1
2026-01-22,81160.90051879885,18806.760108947754,99967.6606277466,2
2026-01-23,100493.26062774661,0.0,100493.26062774661,0
2026-01-26,100493.26062774661,0.0,100493.26062774661,0
2026-01-27,100493.26062774661,0.0,100493.26062774661,0
2026-01-28,90453.91031723026,10052.90002822876,100506.81034545902,1
2026-01-29,81417.60054931644,18832.800270080566,100250.40081939701,2
2026-01-30,100332.54022521977,0.0,100332.54022521977,0
2026-02-02,100332.54022521977,0.0,100332.54022521977,0
2026-02-03,100332.54022521977,0.0,100332.54022521977,0
2026-02-04,90303.16016769414,9900.020086288452,100203.18025398259,1
2026-02-05,90303.16016769414,10145.069942474365,100448.2301101685,1
2026-02-06,100066.2801101685,0.0,100066.2801101685,0
2026-02-09,100066.2801101685,0.0,100066.2801101685,0
2026-02-10,100066.2801101685,0.0,100066.2801101685,0
2026-02-11,100066.2801101685,0.0,100066.2801101685,0
2026-02-12,90062.21022186284,10438.320167541504,100500.53038940435,1
2026-02-13,100521.20027771001,0.0,100521.20027771001,0
2026-02-17,100521.20027771001,0.0,100521.20027771001,0
2026-02-18,100521.20027771001,0.0,100521.20027771001,0
2026-02-19,100521.20027771001,0.0,100521.20027771001,0
2026-02-20,100521.20027771001,0.0,100521.20027771001,0
2026-02-23,100521.20027771001,0.0,100521.20027771001,0
2026-02-24,90466.25027771002,9835.600204467773,100301.85048217779,1
2026-02-25,90466.25027771002,9493.900051116943,99960.15032882696,1
2026-02-26,90466.25027771002,9266.099948883057,99732.35022659307,1
2026-02-27,100099.25043106085,0.0,100099.25043106085,0
2026-03-02,100099.25043106085,0.0,100099.25043106085,0
2026-03-03,100099.25043106085,0.0,100099.25043106085,0
2026-03-04,100099.25043106085,0.0,100099.25043106085,0
2026-03-05,100099.25043106085,0.0,100099.25043106085,0
2026-03-06,100099.25043106085,0.0,100099.25043106085,0
2026-03-09,100099.25043106085,0.0,100099.25043106085,0
2026-03-10,90101.1003044129,10099.44002532959,100200.5403297425,1
2026-03-11,90101.1003044129,10282.039772033691,100383.1400764466,1
2026-03-12,90101.1003044129,10620.67992401123,100721.78022842413,1
2026-03-13,100713.51015243537,0.0,100713.51015243537,0
