date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90017.810055542,10215.660194396973,100233.47024993897,1
2026-01-06,90017.810055542,10264.800277709961,100282.61033325196,1
2026-01-07,81024.11031303406,19353.52042579651,100377.63073883057,2
2026-01-08,81024.11031303406,19316.299962997437,100340.4102760315,2
2026-01-09,81024.11031303406,19337.86008834839,100361.97040138245,2
2026-01-12,81024.11031303406,19422.779823303223,100446.89013633729,2
2026-01-13,81024.11031303406,19582.359773635864,100606.47008666993,2
2026-01-14,72932.63028945924,27652.980590820312,100585.61088027955,3
2026-01-15,72932.63028945924,27549.379440307617,100482.00972976685,3
2026-01-16,72932.63028945924,27507.399436950684,100440.02972640992,3
2026-01-20,72932.63028945924,28088.840034484863,101021.4703239441,3
2026-01-21,65659.46037216188,35190.01968765259,100849.48005981446,4
2026-01-22,59109.79052352907,41480.4404335022,100590.23095703126,5
2026-01-23,59109.79052352907,42248.01012802124,101357.80065155031,5
2026-01-26,59109.79052352907,41876.80942153931,100986.59994506837,5
2026-01-27,59109.79052352907,42307.44954109192,101417.24006462099,5
2026-01-28,53219.80034141542,48225.58041381836,101445.38075523378,6
2026-01-29,47897.57047805788,52811.50047874451,100709.07095680239,7
2026-01-30,47897.57047805788,53001.94900894165,100899.51948699953,7
2026-02-02,47897.57047805788,52202.68990135193,100100.26037940981,7
2026-02-03,47897.57047805788,52872.61878967285,100770.18926773073,7
2026-02-04,51938.36027832034,48213.36042022705,100151.72069854739,7
2026-02-05,51938.36027832034,49406.75971984863,101345.11999816897,7
2026-02-06,61649.66022109988,37854.50977706909,99504.16999816897,6
2026-02-09,61649.66022109988,38322.029331207275,99971.68955230716,6
2026-02-10,61649.66022109988,38906.428773880005,100556.08899497989,6
2026-02-11,61649.66022109988,40046.00977706909,101695.66999816897,6
2026-02-12,55497.710289764436,48084.72077178955,103582.43106155399,7
2026-02-13,64327.0703369141,39368.430210113525,103695.50054702762,6
2026-02-17,64327.0703369141,38597.310945510864,102924.38128242496,6
2026-02-18,64327.0703369141,38032.74115562439,102359.81149253849,6
2026-02-19,64327.0703369141,38693.70052528381,103020.77086219791,6
2026-02-20,71831.53008880619,30647.258987426758,102478.78907623295,5
2026-02-23,79174.81988067631,25422.539279937744,104597.35916061405,4
2026-02-24,71279.86988067631,32912.5606842041,104192.43056488041,5
2026-02-25,71279.86988067631,31769.140171051025,103049.01005172734,5
2026-02-26,71279.86988067631,31006.859828948975,102286.72970962529,5
2026-02-27,77518.00998001103,26008.08041381836,103526.09039382939,4
2026-03-02,83274.11013183599,20409.750537872314,103683.8606697083,3
2026-03-03,83274.11013183599,20459.10032272339,103733.21045455938,3
2026-03-04,83274.11013183599,20226.45037651062,103500.5605083466,3
2026-03-05,83274.11013183599,20466.150484085083,103740.26061592107,3
2026-03-06,89735.75996627813,14542.399627685547,104278.15959396368,2
2026-03-09,89735.75996627813,14708.319702148438,104444.07966842657,2
2026-03-10,80761.00985260015,23910.12005996704,104671.1299125672,3
2026-03-11,80761.00985260015,24342.41946029663,105103.42931289678,3
2026-03-12,80761.00985260015,25144.139820098877,105905.14967269903,3
2026-03-13,105882.43949279792,0.0,105882.43949279792,0
