date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90098.40883034139,9875.3876953125,99973.79652565389,1
2026-01-06,90098.40883034139,9962.158203125,100060.56703346639,1
2026-01-07,81091.73654462855,18926.92706298828,100018.66360761684,2
2026-01-08,81091.73654462855,19030.354934692383,100122.09147932094,2
2026-01-09,99948.12383710903,0.0,99948.12383710903,0
2026-01-12,99948.12383710903,0.0,99948.12383710903,0
2026-01-13,99948.12383710903,0.0,99948.12383710903,0
2026-01-14,89976.97154124384,10092.853576660156,100069.825117904,1
2026-01-15,89976.97154124384,9990.327331542969,99967.2988727868,1
2026-01-16,100010.59685862665,0.0,100010.59685862665,0
2026-01-20,100010.59685862665,0.0,100010.59685862665,0
2026-01-21,90032.37175122282,9641.353218078613,99673.72496930143,1
2026-01-22,81063.75117366116,18461.56005859375,99525.31123225491,2
2026-01-23,99359.87656428617,0.0,99359.87656428617,0
2026-01-26,99359.87656428617,0.0,99359.87656428617,0
2026-01-27,99359.87656428617,0.0,99359.87656428617,0
2026-01-28,89443.81564944112,10027.693355560303,99471.50900500143,1
2026-01-29,80515.25908180319,19262.96746826172,99778.22655006491,2
2026-01-30,100486.01374488913,0.0,100486.01374488913,0
2026-02-02,100486.01374488913,0.0,100486.01374488913,0
2026-02-03,100486.01374488913,0.0,100486.01374488913,0
2026-02-04,90498.57285537013,10424.3099899292,100922.88284529933,1
2026-02-05,90498.57285537013,10874.878807067871,101373.451662438,1
2026-02-06,100699.21045607814,0.0,100699.21045607814,0
2026-02-09,100699.21045607814,0.0,100699.21045607814,0
2026-02-10,100699.21045607814,0.0,100699.21045607814,0
2026-02-11,100699.21045607814,0.0,100699.21045607814,0
2026-02-12,90662.94679128748,10731.581939697266,101394.52873098475,1
2026-02-13,101335.26095144374,0.0,101335.26095144374,0
2026-02-17,101335.26095144374,0.0,101335.26095144374,0
2026-02-18,101335.26095144374,0.0,101335.26095144374,0
2026-02-19,101335.26095144374,0.0,101335.26095144374,0
2026-02-20,101335.26095144374,0.0,101335.26095144374,0
2026-02-23,101335.26095144374,0.0,101335.26095144374,0
2026-02-24,91241.30538806164,9812.651824951172,101053.9572130128,1
2026-02-25,91241.30538806164,9393.259582519531,100634.56497058117,1
2026-02-26,91241.30538806164,9730.716705322266,100972.0220933839,1
2026-02-27,101075.39179553234,0.0,101075.39179553234,0
2026-03-02,101075.39179553234,0.0,101075.39179553234,0
2026-03-03,101075.39179553234,0.0,101075.39179553234,0
2026-03-04,101075.39179553234,0.0,101075.39179553234,0
2026-03-05,101075.39179553234,0.0,101075.39179553234,0
2026-03-06,101075.39179553234,0.0,101075.39179553234,0
2026-03-09,101075.39179553234,0.0,101075.39179553234,0
2026-03-10,90988.85585237277,10083.013549804688,101071.86940217746,1
2026-03-11,90988.85585237277,10091.583984375,101080.43983674777,1
2026-03-12,90988.85585237277,10617.232543945312,101606.08839631808,1
2026-03-13,101802.5408621384,0.0,101802.5408621384,0
2026-03-16,91682.75592838446,10094.152809143066,101776.90873752753,1
2026-03-17,91682.75592838446,9948.00089263916,101630.75682102362,1
2026-03-18,91682.75592838446,10369.912002563477,102052.66793094794,1
2026-03-19,91682.75592838446,10466.427879333496,102149.18380771796,1
2026-03-20,102742.62991062323,0.0,102742.62991062323,0
2026-03-23,102742.62991062323,0.0,102742.62991062323,0
2026-03-24,102742.62991062323,0.0,102742.62991062323,0
2026-03-25,102742.62991062323,0.0,102742.62991062323,0
2026-03-26,102742.62991062323,0.0,102742.62991062323,0
2026-03-27,102742.62991062323,0.0,102742.62991062323,0
2026-03-30,102742.62991062323,0.0,102742.62991062323,0
2026-03-31,102742.62991062323,0.0,102742.62991062323,0
2026-04-01,102742.62991062323,0.0,102742.62991062323,0
2026-04-02,102742.62991062323,0.0,102742.62991062323,0
2026-04-06,102742.62991062323,0.0,102742.62991062323,0
2026-04-07,102742.62991062323,0.0,102742.62991062323,0
2026-04-08,102742.62991062323,0.0,102742.62991062323,0
2026-04-09,102742.62991062323,0.0,102742.62991062323,0
2026-04-10,102742.62991062323,0.0,102742.62991062323,0
2026-04-13,102742.62991062323,0.0,102742.62991062323,0
2026-04-14,102742.62991062323,0.0,102742.62991062323,0
2026-04-15,102742.62991062323,0.0,102742.62991062323,0
2026-04-16,102742.62991062323,0.0,102742.62991062323,0
2026-04-17,102742.62991062323,0.0,102742.62991062323,0
