date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90098.40883034139,9875.3876953125,99973.79652565389,1
2026-01-06,90098.40883034139,9962.158203125,100060.56703346639,1
2026-01-07,81091.73654462855,18926.92706298828,100018.66360761684,2
2026-01-08,81091.73654462855,19030.354934692383,100122.09147932094,2
2026-01-09,81091.73654462855,18866.28729248047,99958.02383710902,2
2026-01-12,81091.73654462855,18852.695343017578,99944.43188764613,2
2026-01-13,81091.73654462855,18884.375534057617,99976.11207868617,2
2026-01-14,73022.03073942185,27230.808403015137,100252.83914243699,3
2026-01-15,73022.03073942185,27090.395790100098,100112.42652952195,3
2026-01-16,73022.03073942185,27164.93309020996,100186.96382963182,3
2026-01-20,73022.03073942185,28038.769813537598,101060.80055295945,3
2026-01-21,65763.78975221906,34457.11092376709,100220.90067598615,4
2026-01-22,59216.014513122966,40579.028869628906,99795.04338275187,5
2026-01-23,59216.014513122966,40352.050537109375,99568.06505023234,5
2026-01-26,59216.014513122966,40008.380630493164,99224.39514361613,5
2026-01-27,59216.014513122966,39296.41125488281,98512.42576800578,5
2026-01-28,53301.3337812899,45059.9779624939,98361.3117437838,6
2026-01-29,47992.142115211405,50992.00313568115,98984.14525089256,7
2026-01-30,47992.142115211405,52396.28080749512,100388.42292270652,7
2026-02-02,47992.142115211405,51599.4443359375,99591.5864511489,7
2026-02-03,47992.142115211405,53400.1349029541,101392.2770181655,7
2026-02-04,51957.75652878984,51766.9815826416,103724.73811143145,7
2026-02-05,51957.75652878984,54004.50019836426,105962.2567271541,7
2026-02-06,61533.562235576945,41100.053466796875,102633.61570237382,6
2026-02-09,61533.562235576945,40172.235107421875,101705.79734299882,6
2026-02-10,61533.562235576945,40741.841796875,102275.40403245194,6
2026-02-11,61533.562235576945,40448.23107910156,101981.7933146785,6
2026-02-12,55428.489061042084,49452.28974914551,104880.77881018759,7
2026-02-13,64297.211302253025,40328.31530761719,104625.52660987021,6
2026-02-17,64297.211302253025,40455.84656524658,104753.0578674996,6
2026-02-18,64297.211302253025,39590.84063720703,103888.05193946006,6
2026-02-19,64297.211302253025,40039.978576660156,104337.18987891318,6
2026-02-20,71551.7425034249,31760.230255126953,103311.97275855186,5
2026-02-23,78783.97435767295,25691.995582580566,104475.96994025352,4
2026-02-24,70924.01288332546,32521.931762695312,103445.94464602077,5
2026-02-25,70924.01288332546,31131.946044921875,102055.95892824733,5
2026-02-26,70924.01288332546,32250.375366210938,103174.3882495364,5
2026-02-27,77665.83070559108,25862.609985351562,103528.44069094265,4
2026-03-02,83612.65953707302,19815.92246246338,103428.5819995364,3
2026-03-03,83612.65953707302,20455.9608001709,104068.62033724392,3
2026-03-04,83612.65953707302,19543.6273727417,103156.28690981472,3
2026-03-05,83612.65953707302,19723.28547668457,103335.94501375759,3
2026-03-06,89728.60391573513,14500.690254211426,104229.29416994656,2
2026-03-09,89728.60391573513,13936.138282775879,103664.74219851101,2
2026-03-10,80762.24418848217,22896.843269348145,103659.08745783032,3
2026-03-11,80762.24418848217,22916.305297851562,103678.54948633374,3
2026-03-12,80762.24418848217,24109.96556854248,104872.20975702466,3
2026-03-13,80762.24418848217,24567.317001342773,105329.56118982495,3
2026-03-16,78628.66358205167,25852.650360107422,104481.31394215909,3
2026-03-17,78628.66358205167,25478.333221435547,104106.99680348721,3
2026-03-18,78628.66358205167,26558.91131591797,105187.57489796964,3
2026-03-19,78628.66358205167,26806.103057861328,105434.766639913,3
2026-03-20,78628.66358205167,28338.68588256836,106967.34946462003,3
2026-03-23,78628.66358205167,27360.516998291016,105989.18058034268,3
2026-03-24,78628.66358205167,27946.71160888672,106575.37519093839,3
2026-03-25,78628.66358205167,27397.759674072266,106026.42325612393,3
2026-03-26,87616.21358205167,20377.5,107993.71358205167,2
2026-03-27,87616.21358205167,21592.739547729492,109208.95312978116,2
2026-03-30,87616.21358205167,22086.739547729492,109702.95312978116,2
2026-03-31,87616.21358205167,19881.029472351074,107497.24305440274,2
2026-04-01,87616.21358205167,19130.14924621582,106746.36282826749,2
2026-04-02,87616.21358205167,19090.630226135254,106706.84380818692,2
2026-04-06,87616.21358205167,18752.239547729492,106368.45312978116,2
2026-04-07,87616.21358205167,18749.770904541016,106365.98448659269,2
2026-04-08,87616.21358205167,17092.39924621582,104708.61282826749,2
2026-04-09,96297.34366017667,8075.340072631836,104372.68373280851,1
2026-04-10,96297.34366017667,8046.780326843262,104344.12398701994,1
2026-04-13,96297.34366017667,7802.829963684082,104100.17362386076,1
2026-04-14,96297.34366017667,7380.380054473877,103677.72371465055,1
2026-04-15,103365.75349675505,0.0,103365.75349675505,0
2026-04-16,103365.75349675505,0.0,103365.75349675505,0
2026-04-17,103365.75349675505,0.0,103365.75349675505,0
