date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90409.66797092874,9601.85693359375,100011.52490452249,1
2026-01-06,100063.67890842874,0.0,100063.67890842874,0
2026-01-07,90087.6316391695,10082.0498046875,100169.681443857,1
2026-01-08,100177.29192588215,0.0,100177.29192588215,0
2026-01-09,100177.29192588215,0.0,100177.29192588215,0
2026-01-12,100177.29192588215,0.0,100177.29192588215,0
2026-01-13,100177.29192588215,0.0,100177.29192588215,0
2026-01-14,90175.57820714478,10021.765823364258,100197.34403050903,1
2026-01-15,100113.22105687622,0.0,100113.22105687622,0
2026-01-16,100113.22105687622,0.0,100113.22105687622,0
2026-01-20,100113.22105687622,0.0,100113.22105687622,0
2026-01-21,90103.37203252355,9744.954681396484,99848.32671392003,1
2026-01-22,89748.83728867855,9979.976379394531,99728.81366807308,1
2026-01-23,99727.99123154965,0.0,99727.99123154965,0
2026-01-26,99727.99123154965,0.0,99727.99123154965,0
2026-01-27,99727.99123154965,0.0,99727.99123154965,0
2026-01-28,89784.2786961741,10004.581634521484,99788.86033069558,1
2026-01-29,89876.29285026697,10074.648544311523,99950.94139457849,1
2026-01-30,100047.90556389002,0.0,100047.90556389002,0
2026-02-02,100047.90556389002,0.0,100047.90556389002,0
2026-02-03,100047.90556389002,0.0,100047.90556389002,0
2026-02-04,90077.42419526089,10140.944213867188,100218.36840912807,1
2026-02-05,100603.45411469448,0.0,100603.45411469448,0
2026-02-06,100603.45411469448,0.0,100603.45411469448,0
2026-02-09,100603.45411469448,0.0,100603.45411469448,0
2026-02-10,100603.45411469448,0.0,100603.45411469448,0
2026-02-11,100603.45411469448,0.0,100603.45411469448,0
2026-02-12,90570.93337752293,10598.159740447998,101169.09311797093,1
2026-02-13,101162.0289135642,0.0,101162.0289135642,0
2026-02-17,101162.0289135642,0.0,101162.0289135642,0
2026-02-18,101162.0289135642,0.0,101162.0289135642,0
2026-02-19,101162.0289135642,0.0,101162.0289135642,0
2026-02-20,101162.0289135642,0.0,101162.0289135642,0
2026-02-23,101162.0289135642,0.0,101162.0289135642,0
2026-02-24,91048.42962950953,9860.917976379395,100909.34760588892,1
2026-02-25,100662.70785521754,0.0,100662.70785521754,0
2026-02-26,100662.70785521754,0.0,100662.70785521754,0
2026-02-27,100662.70785521754,0.0,100662.70785521754,0
2026-03-02,100662.70785521754,0.0,100662.70785521754,0
2026-03-03,100662.70785521754,0.0,100662.70785521754,0
2026-03-04,100662.70785521754,0.0,100662.70785521754,0
2026-03-05,100662.70785521754,0.0,100662.70785521754,0
2026-03-06,100662.70785521754,0.0,100662.70785521754,0
2026-03-09,100662.70785521754,0.0,100662.70785521754,0
2026-03-10,90595.74965345513,10087.545753479004,100683.29540693414,1
2026-03-11,100719.59968702447,0.0,100719.59968702447,0
2026-03-12,100719.59968702447,0.0,100719.59968702447,0
2026-03-13,100719.59968702447,0.0,100719.59968702447,0
2026-03-16,90644.46631893393,10040.021858215332,100684.48817714927,1
2026-03-17,100602.249206202,0.0,100602.249206202,0
2026-03-18,100602.249206202,0.0,100602.249206202,0
2026-03-19,100602.249206202,0.0,100602.249206202,0
2026-03-20,100602.249206202,0.0,100602.249206202,0
2026-03-23,100602.249206202,0.0,100602.249206202,0
2026-03-24,100602.249206202,0.0,100602.249206202,0
2026-03-25,100602.249206202,0.0,100602.249206202,0
2026-03-26,100602.249206202,0.0,100602.249206202,0
2026-03-27,100602.249206202,0.0,100602.249206202,0
2026-03-30,100602.249206202,0.0,100602.249206202,0
2026-03-31,100602.249206202,0.0,100602.249206202,0
2026-04-01,100602.249206202,0.0,100602.249206202,0
2026-04-02,100602.249206202,0.0,100602.249206202,0
2026-04-06,100602.249206202,0.0,100602.249206202,0
2026-04-07,100602.249206202,0.0,100602.249206202,0
2026-04-08,100602.249206202,0.0,100602.249206202,0
2026-04-09,100602.249206202,0.0,100602.249206202,0
2026-04-10,100602.249206202,0.0,100602.249206202,0
2026-04-13,100602.249206202,0.0,100602.249206202,0
2026-04-14,100602.249206202,0.0,100602.249206202,0
2026-04-15,100602.249206202,0.0,100602.249206202,0
2026-04-16,100602.249206202,0.0,100602.249206202,0
2026-04-17,100602.249206202,0.0,100602.249206202,0
