date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90030.77447909265,9899.631977081299,99930.40645617395,1
2026-01-06,90030.77447909265,10160.051460266113,100190.82593935877,1
2026-01-07,81024.10219337982,19144.78273010254,100168.88492348236,2
2026-01-08,81024.10219337982,19123.939403533936,100148.04159691375,2
2026-01-09,81024.10219337982,19151.085956573486,100175.1881499533,2
2026-01-12,81024.10219337982,19153.195114135742,100177.29730751556,2
2026-01-13,81024.10219337982,19146.175384521484,100170.2775779013,2
2026-01-14,72954.39638817312,27272.60472869873,100227.00111687185,3
2026-01-15,72954.39638817312,27198.138271331787,100152.5346595049,3
2026-01-16,72954.39638817312,27236.65752029419,100191.05390846731,3
2026-01-20,72954.39638817312,27691.620483398438,100646.01687157156,3
2026-01-21,65696.15540097032,34347.9966545105,100044.15205548082,4
2026-01-22,59148.38016187423,40614.41732406616,99762.79748594039,5
2026-01-23,59148.38016187423,40444.772510528564,99593.1526724028,5
2026-01-26,59148.38016187423,40186.60375595093,99334.98391782516,5
2026-01-27,59148.38016187423,39653.68272781372,98802.06288968795,5
2026-01-28,53233.69943004116,45479.8932723999,98713.59270244106,6
2026-01-29,47924.50776396267,51284.093059539795,99208.60082350246,7
2026-01-30,47924.50776396267,52432.40132904053,100356.9090930032,7
2026-02-02,47924.50776396267,51770.4942779541,99695.00204191677,7
2026-02-03,47924.50776396267,53248.39935684204,101172.90712080471,7
2026-02-04,51400.732109486904,51766.9815826416,103167.71369212851,7
2026-02-05,51400.732109486904,54004.50019836426,105405.23230785117,7
2026-02-06,60976.53781627401,41100.053466796875,102076.59128307088,6
2026-02-09,60976.53781627401,40172.235107421875,101148.77292369588,6
2026-02-10,60976.53781627401,40741.841796875,101718.37961314901,6
2026-02-11,60976.53781627401,40448.23107910156,101424.76889537557,6
2026-02-12,54939.24378812287,49379.77906036377,104319.02284848664,7
2026-02-13,63807.96602933381,40256.171630859375,104064.13766019318,6
2026-02-17,63807.96602933381,40383.4747467041,104191.44077603791,6
2026-02-18,63807.96602933381,39520.01623535156,103327.98226468537,6
2026-02-19,63807.96602933381,39968.35070800781,103776.31673734162,6
2026-02-20,71062.49723050569,31690.42755126953,102752.92478177522,5
2026-02-23,78294.72908475374,25619.623764038086,103914.35284879182,4
2026-02-24,70506.83193585898,32381.751022338867,102888.58295819785,5
2026-02-25,70506.83193585898,30997.756622314453,101504.58855817343,5
2026-02-26,70506.83193585898,32111.365127563477,102618.19706342246,5
2026-02-27,77248.64975812461,25722.052322387695,102970.7020805123,4
2026-03-02,83195.47858960654,19675.88060760498,102871.35919721152,3
2026-03-03,83195.47858960654,20311.395706176758,103506.8742957833,3
2026-03-04,83195.47858960654,19405.50986480713,102600.98845441367,3
2026-03-05,83195.47858960654,19583.8983001709,102779.37688977744,3
2026-03-06,89311.42296826866,14354.95467376709,103666.37764203575,2
2026-03-09,89311.42296826866,13796.0765914917,103107.49955976036,2
2026-03-10,80415.07425450986,22686.780487060547,103101.85474157041,3
2026-03-11,80415.07425450986,22706.06396484375,103121.13821935361,3
2026-03-12,80415.07425450986,23888.773223876953,104303.84747838682,3
2026-03-13,80415.07425450986,24341.928771972656,104757.00302648252,3
2026-03-16,78208.87384369703,25707.410751342773,103916.2845950398,3
2026-03-17,78208.87384369703,25335.196517944336,103544.07036164137,3
2026-03-18,78208.87384369703,26409.70394897461,104618.57779267164,3
2026-03-19,78208.87384369703,26655.5069732666,104864.38081696363,3
2026-03-20,78208.87384369703,28179.479782104492,106388.35362580152,3
2026-03-23,78208.87384369703,27206.806228637695,105415.68007233473,3
2026-03-24,78208.87384369703,27789.707611083984,105998.58145478102,3
2026-03-25,78208.87384369703,27243.83967590332,105452.71351960035,3
2026-03-26,87113.92384369703,20295.0,107408.92384369703,2
2026-03-27,87113.92384369703,21505.319549560547,108619.24339325758,2
2026-03-30,87113.92384369703,21997.319549560547,109111.24339325758,2
2026-03-31,87113.92384369703,19800.539474487305,106914.46331818434,2
2026-04-01,87113.92384369703,19052.699249267578,106166.62309296461,2
2026-04-02,87113.92384369703,19013.340225219727,106127.26406891676,2
2026-04-06,87113.92384369703,18676.319549560547,105790.24339325758,2
2026-04-07,87113.92384369703,18673.860900878906,105787.78474457594,2
2026-04-08,87113.92384369703,17023.199249267578,104137.12309296461,2
2026-04-09,95727.19392121168,8075.340072631836,103802.53399384352,1
2026-04-10,95727.19392121168,8046.780326843262,103773.97424805495,1
2026-04-13,95727.19392121168,7802.829963684082,103530.02388489577,1
2026-04-14,95727.19392121168,7380.380054473877,103107.57397568556,1
2026-04-15,102795.60375779006,0.0,102795.60375779006,0
2026-04-16,102795.60375779006,0.0,102795.60375779006,0
2026-04-17,102795.60375779006,0.0,102795.60375779006,0
