date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90014.29460540453,10219.259651184082,100233.55425658861,1
2026-01-06,90014.29460540453,10268.417026519775,100282.7116319243,1
2026-01-07,81010.94816810987,19366.994737625122,100377.94290573499,2
2026-01-08,81010.94816810987,19329.69598007202,100340.64414818189,2
2026-01-09,81010.94816810987,19351.301639556885,100362.24980766675,2
2026-01-12,81010.94816810987,19436.370714187622,100447.31888229749,2
2026-01-13,81010.94816810987,19596.260511398315,100607.20867950819,2
2026-01-14,72927.67579119574,27658.764152526855,100586.4399437226,3
2026-01-15,72927.67579119574,27555.157682418823,100482.83347361456,3
2026-01-16,72927.67579119574,27513.175300598145,100440.85109179388,3
2026-01-20,72927.67579119574,28094.641090393066,101022.3168815888,3
2026-01-21,65631.89239601744,35218.29423522949,100850.18663124694,4
2026-01-22,59083.67772177272,41506.98704338074,100590.66476515346,5
2026-01-23,59083.67772177272,42275.16516494751,101358.84288672023,5
2026-01-26,59083.67772177272,41903.67091369629,100987.34863546901,5
2026-01-27,59083.67772177272,42334.65349960327,101418.331221376,5
2026-01-28,53191.62040685396,48254.87293243408,101446.49333928805,6
2026-01-29,47891.92273291426,52817.8542137146,100709.77694662886,7
2026-01-30,47891.92273291426,53008.30906677246,100900.23179968672,7
2026-02-02,47891.92273291426,52209.02585220337,100100.94858511763,7
2026-02-03,47891.92273291426,52878.97464752197,100770.89738043623,7
2026-02-04,51960.62362465638,48192.09408378601,100152.71770844239,7
2026-02-05,51960.62362465638,49384.96736907959,101345.59099373597,7
2026-02-06,61682.35099663514,37823.1008682251,99505.45186486024,6
2026-02-09,61682.35099663514,38290.23234176636,99972.5833384015,6
2026-02-10,61682.35099663514,38874.14598464966,100556.4969812848,6
2026-02-11,61682.35099663514,40012.784019470215,101695.13501610536,6
2026-02-12,55529.24514237858,48051.35355377197,103580.59869615056,7
2026-02-13,64349.638388838546,39343.94956970215,103693.5879585407,6
2026-02-17,64349.638388838546,38573.309436798096,102922.94782563664,6
2026-02-18,64349.638388838546,38009.09100341797,102358.72939225651,6
2026-02-19,64349.638388838546,38669.64044189453,103019.27883073308,6
2026-02-20,71877.46190453984,30600.16787147522,102477.62977601506,5
2026-02-23,79219.11754113653,25373.81866455078,104592.9362056873,4
2026-02-24,71297.85605642936,32890.034437179565,104187.89049360892,5
2026-02-25,71297.85605642936,31747.396230697632,103045.25228712699,5
2026-02-26,71297.85605642936,30985.63814163208,102283.49419806144,5
2026-02-27,77538.188923861,25983.814498901367,103522.00342276237,4
2026-03-02,83269.87638266227,20409.745330810547,103679.62171347282,3
2026-03-03,83269.87638266227,20459.09580230713,103728.9721849694,3
2026-03-04,83269.87638266227,20226.44570159912,103496.3220842614,3
2026-03-05,83269.87638266227,20466.144905090332,103736.0212877526,3
2026-03-06,89704.12390768669,14569.797164916992,104273.92107260368,2
2026-03-09,89704.12390768669,14736.029239654541,104440.15314734123,2
2026-03-10,80737.41131404697,23929.964122772217,104667.37543681919,3
2026-03-11,80737.41131404697,24362.622203826904,105100.03351787388,3
2026-03-12,80737.41131404697,25165.008144378662,105902.41945842563,3
2026-03-13,80737.41131404697,25157.14111328125,105894.55242732822,3
2026-03-16,79030.19415353134,26397.70304107666,105427.897194608,3
2026-03-17,79030.19415353134,26086.747200012207,105116.94135354355,3
2026-03-18,79030.19415353134,26759.084327697754,105789.27848122909,3
2026-03-19,79030.19415353134,26750.681159973145,105780.87531350448,3
2026-03-20,79030.19415353134,26658.233436584473,105688.42759011581,3
2026-03-23,79030.19415353134,26204.406036376953,105234.60018990829,3
2026-03-24,79030.19415353134,26179.191703796387,105209.38585732772,3
2026-03-25,79030.19415353134,26096.48006439209,105126.67421792343,3
2026-03-26,87330.34419396713,18145.86008834839,105476.20428231552,2
2026-03-27,87330.34419396713,19060.678939819336,106391.02313378647,2
2026-03-30,87330.34419396713,18649.589469909668,105979.9336638768,2
2026-03-31,87330.34419396713,17833.199558258057,105163.54375222519,2
2026-04-01,87330.34419396713,17844.779823303223,105175.12401727035,2
2026-04-02,87330.34419396713,17740.559646606445,105070.90384057358,2
2026-04-06,87330.34419396713,17514.75,104845.09419396713,2
2026-04-07,87330.34419396713,17526.330265045166,104856.6744590123,2
2026-04-08,87330.34419396713,16594.13991165161,103924.48410561874,2
2026-04-09,95846.89419396713,7980.0,103826.89419396713,1
2026-04-10,95846.89419396713,8156.399765014648,104003.29395898178,1
2026-04-13,95846.89419396713,7879.1998291015625,103726.0940230687,1
2026-04-14,95846.89419396713,7845.600128173828,103692.49432214096,1
2026-04-15,103569.94430077866,0.0,103569.94430077866,0
2026-04-16,103569.94430077866,0.0,103569.94430077866,0
2026-04-17,103569.94430077866,0.0,103569.94430077866,0
