date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90030.85579821648,10316.83479309082,100347.6905913073,1
2026-01-06,90030.85579821648,10715.654067993164,100746.50986620964,1
2026-01-07,81024.00002869114,19748.351904392242,100772.35193308338,2
2026-01-08,81024.00002869114,19800.637038707733,100824.63706739887,2
2026-01-09,81024.00002869114,19850.130852222443,100874.13088091358,2
2026-01-12,81024.00002869114,19903.30009508133,100927.30012377247,2
2026-01-13,81024.00002869114,19895.867172718048,100919.86720140919,2
2026-01-14,72921.04207798706,27872.769965171814,100793.81204315888,3
2026-01-15,72921.04207798706,27748.25948524475,100669.30156323181,3
2026-01-16,72921.04207798706,27747.035595417023,100668.07767340408,3
2026-01-20,72921.04207798706,27871.36262655258,100792.40470453964,3
2026-01-21,65624.67656041366,34661.61335849762,100286.28991891128,4
2026-01-22,59060.27504330856,40989.98222351074,100050.2572668193,5
2026-01-23,59060.27504330856,41842.42950439453,100902.70454770309,5
2026-01-26,59060.27504330856,42072.15465545654,101132.4296987651,5
2026-01-27,59060.27504330856,41914.96147155762,100975.23651486618,5
2026-01-28,53153.189406227124,48325.93940734863,101479.12881357575,6
2026-01-29,47835.03959672878,53616.650113105774,101451.68970983455,7
2026-01-30,47835.03959672878,55044.539852142334,102879.57944887111,7
2026-02-02,47835.03959672878,54055.07565021515,101890.11524694393,7
2026-02-03,47835.03959672878,53860.68644428253,101695.72604101131,7
2026-02-04,53066.34217653178,49665.38159942627,102731.72377595806,7
2026-02-05,53066.34217653178,52324.6341381073,105390.97631463909,7
2026-02-06,61154.97264518642,38599.69823217392,99754.67087736033,6
2026-02-09,61154.97264518642,37888.484198093414,99043.45684327983,6
2026-02-10,61154.97264518642,38211.763021469116,99366.73566665553,6
2026-02-11,61154.97264518642,38729.01100683212,99883.98365201853,6
2026-02-12,55037.073336786896,47778.54409122467,102815.61742801157,7
2026-02-13,62898.75898169962,38108.94062805176,101007.69960975138,6
2026-02-17,62898.75898169962,38046.67385101318,100945.4328327128,6
2026-02-18,62898.75898169962,37673.05519866943,100571.81418036905,6
2026-02-19,62898.75898169962,37423.979095458984,100322.7380771586,6
2026-02-20,70137.09599427668,30242.9588599205,100380.05485419718,5
2026-02-23,77356.71675977198,24425.038468837738,101781.75522860972,4
2026-02-24,69621.85022857187,31083.123438835144,100704.97366740702,5
2026-02-25,69621.85022857187,30674.807292938232,100296.6575215101,5
2026-02-26,69621.85022857187,30266.488689422607,99888.33891799448,5
2026-02-27,75786.41488463877,25628.16388130188,101414.57876594065,4
2026-03-02,81068.49117314814,19641.812760829926,100710.30393397807,3
2026-03-03,81068.49117314814,20646.591510772705,101715.08268392085,3
2026-03-04,81068.49117314814,20063.17199420929,101131.66316735743,3
2026-03-05,81068.49117314814,21197.600219249725,102266.09139239787,3
2026-03-06,87836.14306514262,15915.96104812622,103752.10411326884,2
2026-03-09,87836.14306514262,15415.745220184326,103251.88828532695,2
2026-03-10,79051.27042337849,24179.7834148407,103231.05383821919,3
2026-03-11,79051.27042337849,24357.83681488037,103409.10723825886,3
2026-03-12,79051.27042337849,25960.32598876953,105011.59641214802,3
2026-03-13,79051.27042337849,26280.8251953125,105332.09561869099,3
2026-03-16,86540.96316982701,18002.74165868759,104543.7048285146,2
2026-03-17,86540.96316982701,17675.877274036407,104216.84044386342,2
2026-03-18,86540.96316982701,18530.754847049713,105071.71801687672,2
2026-03-19,86540.96316982701,18178.746861934662,104719.71003176167,2
2026-03-20,86540.96316982701,19385.634841442108,105926.59801126912,2
2026-03-23,86540.96316982701,18128.459661006927,104669.42283083394,2
2026-03-24,86540.96316982701,17823.77995157242,104364.74312139943,2
2026-03-25,86540.96316982701,17189.02995157242,103729.99312139943,2
2026-03-26,95382.47300440267,9281.999826431274,104664.47283083394,1
2026-03-27,95382.47300440267,9763.000297546387,105145.47330194905,1
2026-03-30,95382.47300440267,10192.000198364258,105574.47320276692,1
2026-03-31,95382.47300440267,9125.999975204468,104508.47297960713,1
2026-04-01,95382.47300440267,8956.999826431274,104339.47283083394,1
2026-04-02,95382.47300440267,8800.999975204468,104183.47297960713,1
2026-04-06,95382.47300440267,8683.99977684021,104066.47278124288,1
2026-04-07,95382.47300440267,8619.000148773193,104001.47315317586,1
2026-04-08,95382.47300440267,7865.000247955322,103247.47325235799,1
2026-04-09,103112.52275644735,0.0,103112.52275644735,0
2026-04-10,103112.52275644735,0.0,103112.52275644735,0
2026-04-13,103112.52275644735,0.0,103112.52275644735,0
2026-04-14,103112.52275644735,0.0,103112.52275644735,0
2026-04-15,103112.52275644735,0.0,103112.52275644735,0
2026-04-16,103112.52275644735,0.0,103112.52275644735,0
2026-04-17,103112.52275644735,0.0,103112.52275644735,0
