date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90030.77447909265,9899.631977081299,99930.40645617395,1
2026-01-06,100185.87593935877,0.0,100185.87593935877,0
2026-01-07,90200.75557911194,9928.569122314453,100129.32470142639,1
2026-01-08,100301.94047443665,0.0,100301.94047443665,0
2026-01-09,100301.94047443665,0.0,100301.94047443665,0
2026-01-12,100301.94047443665,0.0,100301.94047443665,0
2026-01-13,100301.94047443665,0.0,100301.94047443665,0
2026-01-14,90330.78817857147,10092.853576660156,100423.64175523163,1
2026-01-15,100316.16551011444,0.0,100316.16551011444,0
2026-01-16,100316.16551011444,0.0,100316.16551011444,0
2026-01-20,100316.16551011444,0.0,100316.16551011444,0
2026-01-21,90337.9404027106,9641.353218078613,99979.29362078922,1
2026-01-22,89811.52849778064,10021.98974609375,99833.5182438744,1
2026-01-23,99744.13513840565,0.0,99744.13513840565,0
2026-01-26,99744.13513840565,0.0,99744.13513840565,0
2026-01-27,99744.13513840565,0.0,99744.13513840565,0
2026-01-28,89766.51452843734,10089.977165222168,99856.49169365951,1
2026-01-29,90037.29360738107,10138.403930664062,100175.69753804513,1
2026-01-30,100548.4776405842,0.0,100548.4776405842,0
2026-02-02,100548.4776405842,0.0,100548.4776405842,0
2026-02-03,100548.4776405842,0.0,100548.4776405842,0
2026-02-04,90493.12864977596,10495.223663330078,100988.35231310604,1
2026-02-05,101437.03622423885,0.0,101437.03622423885,0
2026-02-06,101437.03622423885,0.0,101437.03622423885,0
2026-02-09,101437.03622423885,0.0,101437.03622423885,0
2026-02-10,101437.03622423885,0.0,101437.03622423885,0
2026-02-11,101437.03622423885,0.0,101437.03622423885,0
2026-02-12,91332.99341306447,10804.092628479004,102137.08604154347,1
2026-02-13,102077.45124997853,0.0,102077.45124997853,0
2026-02-17,102077.45124997853,0.0,102077.45124997853,0
2026-02-18,102077.45124997853,0.0,102077.45124997853,0
2026-02-19,102077.45124997853,0.0,102077.45124997853,0
2026-02-20,102077.45124997853,0.0,102077.45124997853,0
2026-02-23,102077.45124997853,0.0,102077.45124997853,0
2026-02-24,91911.43136114371,9882.742195129395,101794.1735562731,1
2026-02-25,101366.83565496696,0.0,101366.83565496696,0
2026-02-26,101366.83565496696,0.0,101366.83565496696,0
2026-02-27,101366.83565496696,0.0,101366.83565496696,0
2026-03-02,101366.83565496696,0.0,101366.83565496696,0
2026-03-03,101366.83565496696,0.0,101366.83565496696,0
2026-03-04,101366.83565496696,0.0,101366.83565496696,0
2026-03-05,101366.83565496696,0.0,101366.83565496696,0
2026-03-06,101366.83565496696,0.0,101366.83565496696,0
2026-03-09,101366.83565496696,0.0,101366.83565496696,0
2026-03-10,91280.29971180738,10083.013549804688,101363.31326161207,1
2026-03-11,101366.93369618239,0.0,101366.93369618239,0
2026-03-12,101366.93369618239,0.0,101366.93369618239,0
2026-03-13,101366.93369618239,0.0,101366.93369618239,0
2026-03-16,101366.93369618239,0.0,101366.93369618239,0
2026-03-17,101366.93369618239,0.0,101366.93369618239,0
2026-03-18,101366.93369618239,0.0,101366.93369618239,0
2026-03-19,101366.93369618239,0.0,101366.93369618239,0
2026-03-20,101366.93369618239,0.0,101366.93369618239,0
2026-03-23,101366.93369618239,0.0,101366.93369618239,0
2026-03-24,101366.93369618239,0.0,101366.93369618239,0
2026-03-25,101366.93369618239,0.0,101366.93369618239,0
2026-03-26,101366.93369618239,0.0,101366.93369618239,0
2026-03-27,101366.93369618239,0.0,101366.93369618239,0
2026-03-30,101366.93369618239,0.0,101366.93369618239,0
2026-03-31,101366.93369618239,0.0,101366.93369618239,0
2026-04-01,101366.93369618239,0.0,101366.93369618239,0
2026-04-02,101366.93369618239,0.0,101366.93369618239,0
2026-04-06,101366.93369618239,0.0,101366.93369618239,0
2026-04-07,101366.93369618239,0.0,101366.93369618239,0
2026-04-08,101366.93369618239,0.0,101366.93369618239,0
2026-04-09,101366.93369618239,0.0,101366.93369618239,0
2026-04-10,101366.93369618239,0.0,101366.93369618239,0
2026-04-13,101366.93369618239,0.0,101366.93369618239,0
2026-04-14,101366.93369618239,0.0,101366.93369618239,0
2026-04-15,101366.93369618239,0.0,101366.93369618239,0
2026-04-16,101366.93369618239,0.0,101366.93369618239,0
2026-04-17,101366.93369618239,0.0,101366.93369618239,0
