date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90014.29460540453,10219.259651184082,100233.55425658861,1
2026-01-06,100277.76163192431,0.0,100277.76163192431,0
2026-01-07,90248.07289541567,10296.582527160645,100544.65542257631,1
2026-01-08,100439.3316966852,0.0,100439.3316966852,0
2026-01-09,100439.3316966852,0.0,100439.3316966852,0
2026-01-12,100439.3316966852,0.0,100439.3316966852,0
2026-01-13,100439.3316966852,0.0,100439.3316966852,0
2026-01-14,90401.62648664668,9975.250072479248,100376.87655912593,1
2026-01-15,100291.41837469295,0.0,100291.41837469295,0
2026-01-16,100291.41837469295,0.0,100291.41837469295,0
2026-01-20,100291.41837469295,0.0,100291.41837469295,0
2026-01-21,90271.5873373601,9955.135345458984,100226.72268281909,1
2026-01-22,90111.62621873584,9966.785926818848,100078.41214555468,1
2026-01-23,100357.25391648975,0.0,100357.25391648975,0
2026-01-26,100357.25391648975,0.0,100357.25391648975,0
2026-01-27,100357.25391648975,0.0,100357.25391648975,0
2026-01-28,90333.41944935736,10037.35557937622,100370.77502873358,1
2026-01-29,90146.15463810311,9959.217956542969,100105.37259464608,1
2026-01-30,100149.09501896249,0.0,100149.09501896249,0
2026-02-02,100149.09501896249,0.0,100149.09501896249,0
2026-02-03,100149.09501896249,0.0,100149.09501896249,0
2026-02-04,90135.71684120911,9884.216800689697,100019.93364189881,1
2026-02-05,100259.64240578431,0.0,100259.64240578431,0
2026-02-06,100259.64240578431,0.0,100259.64240578431,0
2026-02-09,100259.64240578431,0.0,100259.64240578431,0
2026-02-10,100259.64240578431,0.0,100259.64240578431,0
2026-02-11,100259.64240578431,0.0,100259.64240578431,0
2026-02-12,90243.5359705347,10450.88540649414,100694.42137702883,1
2026-02-13,100715.12246955813,0.0,100715.12246955813,0
2026-02-17,100715.12246955813,0.0,100715.12246955813,0
2026-02-18,100715.12246955813,0.0,100715.12246955813,0
2026-02-19,100715.12246955813,0.0,100715.12246955813,0
2026-02-20,100715.12246955813,0.0,100715.12246955813,0
2026-02-23,100715.12246955813,0.0,100715.12246955813,0
2026-02-24,90643.01409089279,9852.392538070679,100495.40662896346,1
2026-02-25,100148.17300622177,0.0,100148.17300622177,0
2026-02-26,100148.17300622177,0.0,100148.17300622177,0
2026-02-27,100148.17300622177,0.0,100148.17300622177,0
2026-03-02,100148.17300622177,0.0,100148.17300622177,0
2026-03-03,100148.17300622177,0.0,100148.17300622177,0
2026-03-04,100148.17300622177,0.0,100148.17300622177,0
2026-03-05,100148.17300622177,0.0,100148.17300622177,0
2026-03-06,100148.17300622177,0.0,100148.17300622177,0
2026-03-09,100148.17300622177,0.0,100148.17300622177,0
2026-03-10,90132.42465747372,10117.225337982178,100249.6499954559,1
2026-03-11,100427.62126010434,0.0,100427.62126010434,0
2026-03-12,100427.62126010434,0.0,100427.62126010434,0
2026-03-13,100427.62126010434,0.0,100427.62126010434,0
2026-03-16,100427.62126010434,0.0,100427.62126010434,0
2026-03-17,100427.62126010434,0.0,100427.62126010434,0
2026-03-18,100427.62126010434,0.0,100427.62126010434,0
2026-03-19,100427.62126010434,0.0,100427.62126010434,0
2026-03-20,100427.62126010434,0.0,100427.62126010434,0
2026-03-23,100427.62126010434,0.0,100427.62126010434,0
2026-03-24,100427.62126010434,0.0,100427.62126010434,0
2026-03-25,100427.62126010434,0.0,100427.62126010434,0
2026-03-26,100427.62126010434,0.0,100427.62126010434,0
2026-03-27,100427.62126010434,0.0,100427.62126010434,0
2026-03-30,100427.62126010434,0.0,100427.62126010434,0
2026-03-31,100427.62126010434,0.0,100427.62126010434,0
2026-04-01,100427.62126010434,0.0,100427.62126010434,0
2026-04-02,100427.62126010434,0.0,100427.62126010434,0
2026-04-06,100427.62126010434,0.0,100427.62126010434,0
2026-04-07,100427.62126010434,0.0,100427.62126010434,0
2026-04-08,100427.62126010434,0.0,100427.62126010434,0
2026-04-09,100427.62126010434,0.0,100427.62126010434,0
2026-04-10,100427.62126010434,0.0,100427.62126010434,0
2026-04-13,100427.62126010434,0.0,100427.62126010434,0
2026-04-14,100427.62126010434,0.0,100427.62126010434,0
2026-04-15,100427.62126010434,0.0,100427.62126010434,0
2026-04-16,100427.62126010434,0.0,100427.62126010434,0
2026-04-17,100427.62126010434,0.0,100427.62126010434,0
