date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90036.48444804097,10022.545623779297,100059.03007182026,1
2026-01-06,99793.69608439351,0.0,99793.69608439351,0
2026-01-07,89873.80559578227,9863.676513671875,99737.48210945414,1
2026-01-08,99908.93732185649,0.0,99908.93732185649,0
2026-01-09,99908.93732185649,0.0,99908.93732185649,0
2026-01-12,99908.93732185649,0.0,99908.93732185649,0
2026-01-13,99908.93732185649,0.0,99908.93732185649,0
2026-01-14,89937.7850259913,10092.853576660156,100030.63860265145,1
2026-01-15,99923.16235753427,0.0,99923.16235753427,0
2026-01-16,99923.16235753427,0.0,99923.16235753427,0
2026-01-20,99923.16235753427,0.0,99923.16235753427,0
2026-01-21,89944.93725013043,9641.353218078613,99586.29046820904,1
2026-01-22,89483.95359759143,9956.055603027344,99440.00920061878,1
2026-01-23,99351.18157610706,0.0,99351.18157610706,0
2026-01-26,99351.18157610706,0.0,99351.18157610706,0
2026-01-27,99351.18157610706,0.0,99351.18157610706,0
2026-01-28,89435.12066126202,10027.693355560303,99462.81401682232,1
2026-01-29,89704.93755876944,10075.038906097412,99779.97646486685,1
2026-01-30,100150.39575426505,0.0,100150.39575426505,0
2026-02-02,100150.39575426505,0.0,100150.39575426505,0
2026-02-03,90133.28568630612,10583.704765319824,100716.99045162594,1
2026-02-04,91138.52531814663,10566.137336730957,101704.66265487758,1
2026-02-05,102156.41166000454,0.0,102156.41166000454,0
2026-02-06,102156.41166000454,0.0,102156.41166000454,0
2026-02-09,102156.41166000454,0.0,102156.41166000454,0
2026-02-10,102156.41166000454,0.0,102156.41166000454,0
2026-02-11,102156.41166000454,0.0,102156.41166000454,0
2026-02-12,91984.58970244644,10876.603317260742,102861.19301970718,1
2026-02-13,102801.19121611831,0.0,102801.19121611831,0
2026-02-17,92587.64840642519,10059.682777404785,102647.33118382997,1
2026-02-18,102427.29026433534,0.0,102427.29026433534,0
2026-02-19,92217.37795701696,10171.157348632812,102388.53530564977,1
2026-02-20,102124.41190477087,0.0,102124.41190477087,0
2026-02-23,102124.41190477087,0.0,102124.41190477087,0
2026-02-24,91958.39201593603,9882.742195129395,101841.13421106542,1
2026-02-25,91336.40599288323,9795.827850341797,101132.23384322503,1
2026-02-26,101479.20341414788,0.0,101479.20341414788,0
2026-02-27,101479.20341414788,0.0,101479.20341414788,0
2026-03-02,91371.95564117083,9662.887985229492,101034.84362640032,1
2026-03-03,91261.09620712389,9830.426391601562,101091.52259872545,1
2026-03-04,90645.83670900475,9668.225555419922,100314.06226442468,1
2026-03-05,100397.98906496179,0.0,100397.98906496179,0
2026-03-06,100397.98906496179,0.0,100397.98906496179,0
2026-03-09,90424.57482793019,9314.10247039795,99738.67729832814,1
2026-03-10,89785.89425984245,9942.971694946289,99728.86595478874,1
2026-03-11,99732.36735554558,0.0,99732.36735554558,0
2026-03-12,89816.76241066858,10174.847854614258,99991.61026528284,1
2026-03-13,100179.67096169398,0.0,100179.67096169398,0
2026-03-16,90205.42322123147,9948.913200378418,100154.33642160989,1
2026-03-17,90044.11408871983,9948.00089263916,99992.11498135899,1
2026-03-18,90363.74584857264,10369.912002563477,100733.65785113611,1
2026-03-19,100825.22372790614,0.0,100825.22372790614,0
2026-03-20,100825.22372790614,0.0,100825.22372790614,0
2026-03-23,100825.22372790614,0.0,100825.22372790614,0
2026-03-24,100825.22372790614,0.0,100825.22372790614,0
2026-03-25,100825.22372790614,0.0,100825.22372790614,0
2026-03-26,100825.22372790614,0.0,100825.22372790614,0
2026-03-27,100825.22372790614,0.0,100825.22372790614,0
2026-03-30,100825.22372790614,0.0,100825.22372790614,0
2026-03-31,100825.22372790614,0.0,100825.22372790614,0
2026-04-01,100825.22372790614,0.0,100825.22372790614,0
2026-04-02,100825.22372790614,0.0,100825.22372790614,0
2026-04-06,90752.92392779628,9945.519760131836,100698.44368792811,1
2026-04-07,100692.18440753261,0.0,100692.18440753261,0
2026-04-08,100692.18440753261,0.0,100692.18440753261,0
2026-04-09,100692.18440753261,0.0,100692.18440753261,0
2026-04-10,100692.18440753261,0.0,100692.18440753261,0
2026-04-13,90661.83485614101,9638.78995513916,100300.62481128017,1
2026-04-14,89809.6952054147,9551.080070495605,99360.7752759103,1
2026-04-15,98958.50499392788,0.0,98958.50499392788,0
2026-04-16,98958.50499392788,0.0,98958.50499392788,0
2026-04-17,98958.50499392788,0.0,98958.50499392788,0
