date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90036.48444804097,10022.545623779297,100059.03007182026,1
2026-01-06,90036.48444804097,9762.161636352539,99798.6460843935,1
2026-01-07,81029.81216232813,18689.0712890625,99718.88345139063,2
2026-01-08,81029.81216232813,19023.312744140625,100053.12490646876,2
2026-01-09,81029.81216232813,18474.8115234375,99504.62368576563,2
2026-01-12,81029.81216232813,18429.10400390625,99458.91616623438,2
2026-01-13,81029.81216232813,18526.234130859375,99556.04629318751,2
2026-01-14,72960.10635712143,27290.54486846924,100250.65122559067,3
2026-01-15,72960.10635712143,27013.319297790527,99973.42565491196,3
2026-01-16,72960.10635712143,27143.77931213379,100103.88566925522,3
2026-01-20,72960.10635712143,28851.982383728027,101812.08874084946,3
2026-01-21,65701.86536991864,34722.35599517822,100424.22136509686,4
2026-01-22,59154.090130822544,40549.497985839844,99703.58811666239,5
2026-01-23,59154.090130822544,40207.877197265625,99361.96732808817,5
2026-01-26,59154.090130822544,39695.43663024902,98849.52676107157,5
2026-01-27,59154.090130822544,38633.96667480469,97788.05680562723,5
2026-01-28,53239.409398989475,44283.78866958618,97523.19806857566,6
2026-01-29,47930.21773291098,50438.55955505371,98368.7772879647,7
2026-01-30,47930.21773291098,52317.76681518555,100247.98454809653,7
2026-02-02,47930.21773291098,51251.828125,99182.04585791098,7
2026-02-03,43142.38871955481,58715.96720123291,101858.35592078773,8
2026-02-04,48404.7997278363,56730.938720703125,105135.73844853943,8
2026-02-05,48404.7997278363,59183.013916015625,107587.81364385193,8
2026-02-06,57980.6054346234,45959.85708618164,103940.46252080504,7
2026-02-09,57980.6054346234,44922.330474853516,102902.93590947692,7
2026-02-10,57980.6054346234,45559.289306640625,103539.89474126403,7
2026-02-11,57980.6054346234,45230.96110534668,103211.56653997008,7
2026-02-12,52214.42799200714,54165.484519958496,106379.91251196564,8
2026-02-13,61083.15023321808,45017.654296875,106100.80453009308,7
2026-02-17,54982.42179289772,51166.87570953369,106149.29750243141,8
2026-02-18,54982.42179289772,50072.852111816406,105055.27390471412,8
2026-02-19,49515.66098053014,56084.621154785156,105600.2821353153,9
2026-02-20,56770.19218170202,47396.03591918945,104166.22810089147,8
2026-02-23,64002.42403595007,41903.28293609619,105905.70697204626,7
2026-02-24,57655.813396109894,46750.27690887451,104406.0903049844,8
2026-02-25,51924.7500652831,50321.0334777832,102245.7835430663,9
2026-02-26,51924.7500652831,52128.83949279785,104053.58955808094,9
2026-02-27,58666.56788754873,45962.35578918457,104628.9236767333,8
2026-03-02,58166.40176234965,46003.74932098389,104170.15108333353,8
2026-03-03,52382.59755843696,53127.67204284668,105510.26960128364,9
2026-03-04,47164.743610223355,55799.473205566406,102964.21681578975,10
2026-03-05,52386.81272948605,51085.40019226074,103472.2129217468,9
2026-03-06,58138.418157037326,47655.53480529785,105793.95296233517,8
2026-03-09,52362.25201980851,51192.548164367676,103554.80018417619,9
2026-03-10,47176.4870212404,56366.84658050537,103543.33360174578,10
2026-03-11,47176.4870212404,56414.75769042969,103591.2447116701,10
2026-03-12,42503.47490952298,64145.77995300293,106649.25486252591,11
2026-03-13,42503.47490952298,65362.586517333984,107866.06142685696,11
2026-03-16,43863.53090340357,61799.45352935791,105662.98443276147,11
2026-03-17,39489.2811003731,65270.33679199219,104759.61789236529,12
2026-03-18,35583.751725507085,72067.15823364258,107650.90995914966,13
2026-03-19,41828.53923618824,66488.17134857178,108316.71058476002,12
2026-03-20,41828.53923618824,70289.49335479736,112118.0325909856,12
2026-03-23,47664.598483014415,62022.295555114746,109686.89403812916,11
2026-03-24,47664.598483014415,63351.11311340332,111015.71159641774,11
2026-03-25,47664.598483014415,62106.71926116943,109771.31774418385,11
2026-03-26,54919.64848301442,59317.5,114237.14848301442,10
2026-03-27,62170.55833103688,55599.11883544922,117769.6771664861,9
2026-03-30,62170.55833103688,56871.11883544922,119041.6771664861,9
2026-03-31,62170.55833103688,51191.63864135742,113362.1969723943,9
2026-04-01,68981.2080624822,42442.59832763672,111423.80639011892,8
2026-04-02,75004.87813389333,36326.30043029785,111331.17856419118,7
2026-04-06,72544.73815891775,38035.9190826416,110580.65724155935,7
2026-04-07,72544.73815891775,38030.9118347168,110575.64999363455,7
2026-04-08,77868.1879239324,29340.798706054688,107208.98662998709,6
2026-04-09,82884.87796909842,23751.000213623047,106635.87818272147,5
2026-04-10,82884.87796909842,23667.00096130371,106551.87893040213,5
2026-04-13,78475.62833683525,27014.839874267578,105490.46821110282,5
2026-04-14,70645.60855839287,33056.66024398804,103702.2688023809,6
2026-04-15,74563.69846775566,27758.479358673096,102322.17782642876,5
2026-04-16,78133.95850498711,23795.660247802734,101929.61875278984,4
2026-04-17,101008.49825718439,0.0,101008.49825718439,0
