date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90012.79455847626,9965.534362792969,99978.32892126923,1
2026-01-06,90012.79455847626,9904.225616455078,99917.02017493134,1
2026-01-07,81025.82474992251,18957.865745544434,99983.69049546694,2
2026-01-08,81025.82474992251,18968.49506378174,99994.31981370425,2
2026-01-09,81025.82474992251,18846.253829956055,99872.07857987857,2
2026-01-12,81025.82474992251,18814.36791229248,99840.19266221499,2
2026-01-13,81025.82474992251,18856.8851852417,99882.70993516421,2
2026-01-14,72933.31286469357,27044.65155029297,99977.96441498653,3
2026-01-15,72933.31286469357,26983.980834960938,99917.2936996545,3
2026-01-16,72933.31286469357,27029.48387145996,99962.79673615353,3
2026-01-20,72933.31286469357,27583.11577606201,100516.42864075558,3
2026-01-21,65640.42844973707,34492.20933532715,100132.63778506422,4
2026-01-22,59094.02345199276,40858.69088745117,99952.71433944393,5
2026-01-23,59094.02345199276,40870.12078857422,99964.14424056698,5
2026-01-26,59094.02345199276,40675.878158569336,99769.9016105621,5
2026-01-27,59094.02345199276,40515.91647338867,99609.93992538143,5
2026-01-28,53206.84232049485,46409.782371520996,99616.62469201584,6
2026-01-29,47913.972397539656,51834.90379333496,99748.87619087461,7
2026-01-30,47913.972397539656,52024.45560455322,99938.42800209287,7
2026-02-02,47913.972397539656,51762.0013999939,99675.97379753354,7
2026-02-03,43144.51977856035,57041.461181640625,100185.98096020098,8
2026-02-04,47862.466175438756,52634.36235046387,100496.82852590262,8
2026-02-05,47862.466175438756,53292.29216003418,101154.75833547293,8
2026-02-06,56897.67949025809,43243.30089569092,100140.980385949,7
2026-02-09,56897.67949025809,43037.731075286865,99935.41056554495,7
2026-02-10,56897.67949025809,43182.83918380737,100080.51867406546,7
2026-02-11,56897.67949025809,43182.83918380737,100080.51867406546,7
2026-02-12,51222.024487454495,49649.51992034912,100871.54440780362,8
2026-02-13,59447.59842849453,41405.31122970581,100852.90965820034,7
2026-02-17,53507.75656543031,47260.27372741699,100768.03029284731,8
2026-02-18,53507.75656543031,47025.40856552124,100533.16513095156,8
2026-02-19,48171.97006678728,52479.3579750061,100651.32804179339,9
2026-02-20,55384.58862452654,44913.28553009033,100297.87415461687,8
2026-02-23,62021.81584010272,38734.00082778931,100755.81666789202,7
2026-02-24,55838.8673802431,44572.598205566406,100411.4655858095,8
2026-02-25,50263.05895626863,49758.003997802734,100021.06295407136,9
2026-02-26,50263.05895626863,50050.614166259766,100313.67312252839,9
2026-02-27,56258.35084240755,44301.18709945679,100559.53794186434,8
2026-03-02,55500.00072192915,44996.30993652344,100496.3106584526,8
2026-03-03,49978.00702835729,50856.05793380737,100834.06496216467,9
2026-03-04,44979.06258998331,55474.85958099365,100453.92217097696,10
2026-03-05,49862.22917857584,50908.82906341553,100771.05824199137,9
2026-03-06,55324.97679896769,46126.81818008423,101451.79497905192,8
2026-03-09,49800.42535601132,51160.713439941406,100961.13879595272,9
2026-03-10,44841.37189705741,56216.83630371094,101058.20820076835,10
2026-03-11,44841.37189705741,56278.21772003174,101119.58961708915,10
2026-03-12,40384.16827457567,61654.33062362671,102038.49889820238,11
2026-03-13,40384.16827457567,62035.018211364746,102419.18648594042,11
2026-03-16,41662.90608737705,60113.68760681152,101776.59369418857,11
2026-03-17,37505.69000887945,64130.24479293823,101635.93480181768,12
2026-03-18,33765.29661563705,68803.9320602417,102569.22867587875,13
2026-03-19,39904.16746219467,62861.776710510254,102765.94417270493,12
2026-03-20,39904.16746219467,63797.02307891846,103701.19054111313,12
2026-03-23,45467.209344518895,57560.997161865234,103028.20650638413,11
2026-03-24,45467.209344518895,57743.72589111328,103210.93523563218,11
2026-03-25,45467.209344518895,57451.49883270264,102918.70817722153,11
2026-03-26,51997.87955325913,51940.98165893555,103938.86121219468,10
2026-03-27,58059.76945804429,46784.66926574707,104844.43872379136,9
2026-03-30,58059.76945804429,46953.08853149414,105012.85798953843,9
2026-03-31,58059.76945804429,45629.790367126465,103689.55982517076,9
2026-04-01,64414.28963855577,38909.42110443115,103323.71074298692,8
2026-04-02,70091.46979984117,33227.29094314575,103318.76074298692,7
2026-04-06,67761.29969257189,35352.800720214844,103114.10041278673,7
2026-04-07,67761.29969257189,35352.800720214844,103114.10041278673,7
2026-04-08,73196.33944248034,29025.448665618896,102221.78810809924,6
2026-04-09,78126.82956699206,23915.11060333252,102041.94017032458,5
2026-04-10,78126.82956699206,23954.6489944458,102081.47856143786,5
2026-04-13,74231.75997699573,27496.361282348633,101728.12125934436,5
2026-04-14,66829.35000842884,34502.89970397949,101332.24971240833,6
2026-04-15,71235.65012286976,29820.050773620605,101055.70089649037,5
2026-04-16,75208.30020908192,25766.40055847168,100974.7007675536,4
2026-04-17,100662.09965061025,0.0,100662.09965061025,0
