date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90021.10576068446,9918.760437011719,99939.86619769617,1
2026-01-06,90021.10576068446,9745.034378051758,99766.14013873621,1
2026-01-07,81037.4425798349,18921.76171875,99959.2042985849,2
2026-01-08,81037.4425798349,18945.33494567871,99982.77752551361,2
2026-01-09,81037.4425798349,18587.80288696289,99625.24546679779,2
2026-01-12,81037.4425798349,18505.29281616211,99542.735395997,2
2026-01-13,81037.4425798349,18619.232849121094,99656.67542895599,2
2026-01-14,72939.87433133321,27011.045028686523,99950.91936001973,3
2026-01-15,72939.87433133321,26797.655014038086,99737.5293453713,3
2026-01-16,72939.87433133321,26915.581756591797,99855.456087925,3
2026-01-20,72939.87433133321,28566.56694793701,101506.44127927022,3
2026-01-21,65681.37253867752,34643.3138923645,100324.68643104202,4
2026-01-22,59128.89885949812,40687.59600830078,99816.4948677989,5
2026-01-23,59128.89885949812,40704.423767089844,99833.32262658796,5
2026-01-26,59128.89885949812,40081.82580566406,99210.72466516218,5
2026-01-27,59128.89885949812,39619.08508300781,98747.98394250593,5
2026-01-28,53225.711280093,45581.6219329834,98807.3332130764,6
2026-01-29,47908.183146985866,51267.720863342285,99175.90401032814,7
2026-01-30,47908.183146985866,51786.34016418457,99694.52331117043,7
2026-02-02,47908.183146985866,50986.796882629395,98894.98002961525,7
2026-02-03,43139.75386720897,57227.68084716797,100367.43471437694,8
2026-02-04,47903.05606676395,53386.22074127197,101289.27680803592,8
2026-02-05,47903.05606676395,55439.533710479736,103342.58977724369,8
2026-02-06,56967.30391222294,43198.02131652832,100165.32522875126,7
2026-02-09,56967.30391222294,42632.341079711914,99599.64499193485,7
2026-02-10,56967.30391222294,42991.50466918945,99958.80858141239,7
2026-02-11,56967.30391222294,43009.46008682251,99976.76399904545,7
2026-02-12,51265.94048875929,51050.29058074951,102316.2310695088,8
2026-02-13,59717.928240529305,42583.16891479492,102301.09715532423,7
2026-02-17,53749.43709325946,48270.86477279663,102020.30186605609,8
2026-02-18,53749.43709325946,47574.36819076538,101323.80528402484,8
2026-02-19,48417.919943993635,53230.96784591675,101648.88778991038,9
2026-02-20,55398.937789910386,45191.98509979248,100590.92288970287,8
2026-02-23,62197.05134658153,39775.57597732544,101972.62732390697,7
2026-02-24,56017.35991198656,44932.7543258667,100950.11423785327,8
2026-02-25,50443.20119782731,49328.16050720215,99771.36170502946,9
2026-02-26,50443.20119782731,50175.088886260986,100618.2900840883,9
2026-02-27,56648.97820664689,44697.67311859131,101346.6513252382,8
2026-03-02,55998.899636061986,45128.645347595215,101127.5449836572,8
2026-03-03,50399.60958289933,51830.06076049805,102229.67034339737,9
2026-03-04,45402.13139604563,55639.38652038574,101041.51791643137,10
2026-03-05,50493.60829881663,51463.91872406006,101957.52702287669,9
2026-03-06,56209.62719377513,47848.10348510742,104057.73067888255,8
2026-03-09,50594.78034048177,51925.96416473389,102520.74450521565,9
2026-03-10,45558.82623960057,57264.65367126465,102823.47991086522,10
2026-03-11,45558.82623960057,57498.844635009766,103057.67087461034,10
2026-03-12,40998.89876929188,64784.91519165039,105783.81396094227,11
2026-03-13,40998.89876929188,65962.3907661438,106961.28953543567,11
2026-03-16,42665.82153289187,62300.977741241455,104966.79927413331,11
2026-03-17,38443.33602234478,66068.64967346191,104511.9856958067,12
2026-03-18,34620.17347261154,72764.6309967041,107384.80446931564,13
2026-03-19,41173.82015229904,66853.5947265625,108027.41487886154,12
2026-03-20,41173.82015229904,69838.23530960083,111012.05546189987,12
2026-03-23,47187.64459687912,61580.97927093506,108768.62386781418,11
2026-03-24,47187.64459687912,62194.92483139038,109382.5694282695,11
2026-03-25,47187.64459687912,61217.00168609619,108404.64628297531,11
2026-03-26,54421.814729325415,57270.781047821045,111692.59577714646,10
2026-03-27,61541.584516923074,53128.298416137695,114669.88293306077,9
2026-03-30,61541.584516923074,53681.90118789673,115223.4857048198,9
2026-03-31,61541.584516923074,49080.10145187378,110621.68596879685,9
2026-04-01,68354.5245544597,41129.06022644043,109483.58478090013,8
2026-04-02,74380.54475404466,35023.89115905762,109404.43591310228,7
2026-04-06,71857.92449342455,36977.739276885986,108835.66377031054,7
2026-04-07,71857.92449342455,36923.58061981201,108781.50511323656,7
2026-04-08,77148.12452546801,28845.960174560547,105994.08470002856,6
2026-04-09,82049.61466142382,23441.88064956665,105491.49531099047,5
2026-04-10,82049.61466142382,23522.289783477783,105571.90444490161,5
2026-04-13,77658.45497590747,26897.53050994873,104555.9854858562,5
2026-04-14,69931.94512330738,33430.08098602295,103362.02610933033,6
2026-04-15,73972.93504182545,28594.3394241333,102567.27446595875,5
2026-04-16,77624.32499238697,24736.719665527344,102361.04465791432,4
2026-04-17,101475.40574495046,0.0,101475.40574495046,0
