date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,89999.05046558726,9621.669483184814,99620.71994877208,1
2026-01-06,89999.05046558726,9247.339820861816,99246.39028644908,1
2026-01-07,80998.77022985998,18420.36743927002,99419.13766913,2
2026-01-08,80998.77022985998,17817.319786071777,98816.09001593175,2
2026-01-09,80998.77022985998,17433.563148498535,98432.33337835851,2
2026-01-12,80998.77022985998,17214.272132873535,98213.04236273351,2
2026-01-13,80998.77022985998,17241.68350982666,98240.45373968664,2
2026-01-14,72895.8122791559,24803.38871192932,97699.20099108522,3
2026-01-15,72895.8122791559,24159.14600753784,97054.95828669374,3
2026-01-16,72895.8122791559,24118.878657341003,97014.6909364969,3
2026-01-20,72895.8122791559,24964.44841861725,97860.26069777315,3
2026-01-21,65605.44792661755,30588.11622619629,96193.56415281384,4
2026-01-22,59041.04640951245,36467.83149147034,95508.87790098278,5
2026-01-23,59041.04640951245,38444.23712539673,97485.28353490918,5
2026-01-26,59041.04640951245,38890.517515182495,97931.56392469494,5
2026-01-27,59041.04640951245,38571.74449253082,97612.79090204327,5
2026-01-28,53133.96077243101,45299.58463096619,98433.5454033972,6
2026-01-29,47815.810962932665,50582.74834728241,98398.55931021507,7
2026-01-30,47815.810962932665,52889.45531845093,100705.26628138359,7
2026-02-02,47815.810962932665,51324.192423820496,99140.00338675316,7
2026-02-03,43034.40914341903,55794.37564659119,98828.78479001022,8
2026-02-04,46647.677464556524,53834.55708694458,100482.23455150111,8
2026-02-05,46647.677464556524,56717.04138469696,103364.71884925349,8
2026-02-06,54730.395894884896,42525.291680812836,97255.68757569772,7
2026-02-09,54730.395894884896,41741.747103214264,96472.14299809915,7
2026-02-10,54730.395894884896,42097.90341758728,96828.29931247217,7
2026-02-11,54730.395894884896,42667.755578517914,97398.1514734028,7
2026-02-12,49254.44301338447,51261.47776937485,100515.92078275932,8
2026-02-13,57116.128658297195,41460.442563056946,98576.57122135414,7
2026-02-17,51404.34796488205,47044.03454065323,98448.38250553528,8
2026-02-18,51404.34796488205,46582.06173181534,97986.40969669739,8
2026-02-19,46259.19213989678,51297.27668952942,97556.4688294262,9
2026-02-20,53491.56759937707,44145.300681591034,97636.8682809681,8
2026-02-23,60711.188364872374,38974.00135755539,99685.18972242776,7
2026-02-24,54635.85193641579,43542.90865898132,98178.76059539712,8
2026-02-25,49171.42625825007,48476.19429588318,97647.62055413325,9
2026-02-26,49171.42625825007,47830.917806625366,97002.34406487543,9
2026-02-27,55335.990914316964,44081.18221759796,99417.17313191493,8
2026-03-02,54555.38677900198,43256.39669418335,97811.78347318532,8
2026-03-03,49097.2198675053,50780.64823150635,99877.86809901166,9
2026-03-04,44183.05965147453,54231.25042247772,98414.31007395225,10
2026-03-05,49249.21291199165,52226.534729003906,101475.74764099556,9
2026-03-06,55198.88422747093,49945.33943891525,105144.22366638618,8
2026-03-09,49679.180634247925,53518.686912059784,103197.86754630771,9
2026-03-10,44710.19744832743,58539.82046985626,103250.0179181837,10
2026-03-11,44710.19744832743,58970.89191055298,103681.08935888042,10
2026-03-12,40239.10327788852,67391.44691467285,107630.55019256138,11
2026-03-13,40239.10327788852,68223.44360351562,108462.54688140415,11
2026-03-16,42246.26798585998,64225.61399936676,106471.88198522673,11
2026-03-17,38018.478489871246,67264.40575885773,105282.88424872898,12
2026-03-18,34216.63320803158,74414.9572353363,108631.59044336788,13
2026-03-19,40898.941801590845,66314.12108516693,107213.06288675778,12
2026-03-20,40898.941801590845,70716.71914196014,111615.66094355099,12
2026-03-23,46920.15168890469,60104.518876075745,107024.67056498044,11
2026-03-24,46920.15168890469,59094.35983943939,106014.51152834408,11
2026-03-25,46920.15168890469,56989.85983943939,103910.01152834408,11
2026-03-26,53862.42155899518,53157.29900598526,107019.72056498044,10
2026-03-27,60804.22177071088,48965.20149230957,109769.42326302045,9
2026-03-30,60804.22177071088,51116.80099487305,111921.02276558393,9
2026-03-31,60804.22177071088,45770.39987564087,106574.62164635175,9
2026-04-01,67303.43164467328,38418.63925552368,105722.07090019697,8
2026-04-02,72998.82162861341,32049.179909706116,105048.00153831953,7
2026-04-06,70481.98124947066,34014.55912590027,104496.54037537093,7
2026-04-07,70481.98124947066,33759.960582733154,104241.94183220381,7
2026-04-08,75111.33139557356,26172.30082511902,101283.63222069258,6
2026-04-09,79479.63125538344,21366.449315071106,100846.08057045455,5
2026-04-10,79479.63125538344,21546.0,101025.63125538344,5
2026-04-13,74771.7013457727,24822.360082626343,99594.06142839904,5
2026-04-14,67290.75147308822,31225.171297073364,98515.92277016159,6
2026-04-15,70938.54149860855,27289.08019065857,98227.62168926712,5
2026-04-16,74213.31139492508,23859.41924571991,98072.730640645,4
2026-04-17,96515.0310596895,0.0,96515.0310596895,0
