date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90021.10576068446,9918.760437011719,99939.86619769617,1
2026-01-06,90021.10576068446,9745.034378051758,99766.14013873621,1
2026-01-07,81037.4425798349,18921.76171875,99959.2042985849,2
2026-01-08,81037.4425798349,18945.33494567871,99982.77752551361,2
2026-01-09,81037.4425798349,18587.80288696289,99625.24546679779,2
2026-01-12,81037.4425798349,18505.29281616211,99542.735395997,2
2026-01-13,81037.4425798349,18619.232849121094,99656.67542895599,2
2026-01-14,72939.87433133321,27011.045028686523,99950.91936001973,3
2026-01-15,72939.87433133321,26797.655014038086,99737.5293453713,3
2026-01-16,72939.87433133321,26915.581756591797,99855.456087925,3
2026-01-20,72939.87433133321,28566.56694793701,101506.44127927022,3
2026-01-21,65681.37253867752,34643.3138923645,100324.68643104202,4
2026-01-22,59128.89885949812,40687.59600830078,99816.4948677989,5
2026-01-23,59128.89885949812,40704.423767089844,99833.32262658796,5
2026-01-26,59128.89885949812,40081.82580566406,99210.72466516218,5
2026-01-27,59128.89885949812,39619.08508300781,98747.98394250593,5
2026-01-28,53225.711280093,45581.6219329834,98807.3332130764,6
2026-01-29,47908.183146985866,51267.720863342285,99175.90401032814,7
2026-01-30,47908.183146985866,51786.34016418457,99694.52331117043,7
2026-02-02,47908.183146985866,50986.796882629395,98894.98002961525,7
2026-02-03,43139.75386720897,57227.68084716797,100367.43471437694,8
2026-02-04,47903.05606676395,53386.22074127197,101289.27680803592,8
2026-02-05,47903.05606676395,55439.533710479736,103342.58977724369,8
2026-02-06,56967.30391222294,43198.02131652832,100165.32522875126,7
2026-02-09,56967.30391222294,42632.341079711914,99599.64499193485,7
2026-02-10,56967.30391222294,42991.50466918945,99958.80858141239,7
2026-02-11,56967.30391222294,43009.46008682251,99976.76399904545,7
2026-02-12,51265.94048875929,51050.29058074951,102316.2310695088,8
2026-02-13,59717.928240529305,42583.16891479492,102301.09715532423,7
2026-02-17,53749.43709325946,48270.86477279663,102020.30186605609,8
2026-02-18,53749.43709325946,47574.36819076538,101323.80528402484,8
2026-02-19,48417.919943993635,53230.96784591675,101648.88778991038,9
2026-02-20,55398.937789910386,45191.98509979248,100590.92288970287,8
2026-02-23,62197.05134658153,39775.57597732544,101972.62732390697,7
2026-02-24,56017.35991198656,44932.7543258667,100950.11423785327,8
2026-02-25,50443.20119782731,49328.16050720215,99771.36170502946,9
2026-02-26,50443.20119782731,50175.088886260986,100618.2900840883,9
2026-02-27,56648.97820664689,44697.67311859131,101346.6513252382,8
2026-03-02,55998.899636061986,45128.645347595215,101127.5449836572,8
2026-03-03,50399.60958289933,51830.06076049805,102229.67034339737,9
2026-03-04,45402.13139604563,55639.38652038574,101041.51791643137,10
2026-03-05,50493.60829881663,51463.91872406006,101957.52702287669,9
2026-03-06,56209.62719377513,47848.10348510742,104057.73067888255,8
2026-03-09,50594.78034048177,51925.96416473389,102520.74450521565,9
2026-03-10,45558.82623960057,57264.65367126465,102823.47991086522,10
2026-03-11,45558.82623960057,57498.844635009766,103057.67087461034,10
2026-03-12,40998.89876929188,64784.91519165039,105783.81396094227,11
2026-03-13,40998.89876929188,65962.3907661438,106961.28953543567,11
2026-03-16,47387.85742636586,57598.02013397217,104985.87756033803,10
2026-03-17,47387.85742636586,57154.62551116943,104542.4829375353,10
2026-03-18,47387.85742636586,59544.63047027588,106932.48789664175,10
2026-03-19,53941.50410605336,53515.9443359375,107457.44844199085,9
2026-03-20,53941.50410605336,55905.13312911987,109846.63723517323,9
2026-03-23,59955.32855063344,48094.466163635254,108049.7947142687,8
2026-03-24,59955.32855063344,48573.95486831665,108529.2834189501,8
2026-03-25,59955.32855063344,47810.201316833496,107765.52986746695,8
2026-03-26,67189.49868307973,43142.82078933716,110332.31947241689,7
2026-03-27,74309.26847067739,38264.65885925293,112573.92732993032,6
2026-03-30,74309.26847067739,38663.3808555603,112972.64932623769,6
2026-03-31,74309.26847067739,35349.021045684814,109658.2895163622,6
2026-04-01,81122.20850821401,27715.00015258789,108837.2086608019,5
2026-04-02,87148.22870779897,21634.030715942383,108782.25942374136,4
2026-04-06,92605.27860098745,15894.419689178467,108499.69829016592,3
2026-04-07,92605.27860098745,15871.140266418457,108476.41886740591,3
2026-04-08,97895.47863303091,9379.980056762695,107275.45868979361,2
2026-04-09,102796.96876898673,4311.720119476318,107108.68888846305,1
2026-04-10,102796.96876898673,4326.509960174561,107123.47872916129,1
2026-04-13,106993.24884863761,0.0,106993.24884863761,0
2026-04-14,106993.24884863761,0.0,106993.24884863761,0
2026-04-15,106993.24884863761,0.0,106993.24884863761,0
2026-04-16,106993.24884863761,0.0,106993.24884863761,0
2026-04-17,106993.24884863761,0.0,106993.24884863761,0
