date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,89999.05046558726,9621.669483184814,99620.71994877208,1
2026-01-06,89999.05046558726,9247.339820861816,99246.39028644908,1
2026-01-07,80998.77022985998,18420.36743927002,99419.13766913,2
2026-01-08,80998.77022985998,17817.319786071777,98816.09001593175,2
2026-01-09,80998.77022985998,17433.563148498535,98432.33337835851,2
2026-01-12,80998.77022985998,17214.272132873535,98213.04236273351,2
2026-01-13,80998.77022985998,17241.68350982666,98240.45373968664,2
2026-01-14,72895.8122791559,24803.38871192932,97699.20099108522,3
2026-01-15,72895.8122791559,24159.14600753784,97054.95828669374,3
2026-01-16,72895.8122791559,24118.878657341003,97014.6909364969,3
2026-01-20,72895.8122791559,24964.44841861725,97860.26069777315,3
2026-01-21,65605.44792661755,30588.11622619629,96193.56415281384,4
2026-01-22,59041.04640951245,36467.83149147034,95508.87790098278,5
2026-01-23,59041.04640951245,38444.23712539673,97485.28353490918,5
2026-01-26,59041.04640951245,38890.517515182495,97931.56392469494,5
2026-01-27,59041.04640951245,38571.74449253082,97612.79090204327,5
2026-01-28,53133.96077243101,45299.58463096619,98433.5454033972,6
2026-01-29,47815.810962932665,50582.74834728241,98398.55931021507,7
2026-01-30,47815.810962932665,52889.45531845093,100705.26628138359,7
2026-02-02,47815.810962932665,51324.192423820496,99140.00338675316,7
2026-02-03,43034.40914341903,55794.37564659119,98828.78479001022,8
2026-02-04,46647.677464556524,53834.55708694458,100482.23455150111,8
2026-02-05,46647.677464556524,56717.04138469696,103364.71884925349,8
2026-02-06,54730.395894884896,42525.291680812836,97255.68757569772,7
2026-02-09,54730.395894884896,41741.747103214264,96472.14299809915,7
2026-02-10,54730.395894884896,42097.90341758728,96828.29931247217,7
2026-02-11,54730.395894884896,42667.755578517914,97398.1514734028,7
2026-02-12,49254.44301338447,51261.47776937485,100515.92078275932,8
2026-02-13,57116.128658297195,41460.442563056946,98576.57122135414,7
2026-02-17,51404.34796488205,47044.03454065323,98448.38250553528,8
2026-02-18,51404.34796488205,46582.06173181534,97986.40969669739,8
2026-02-19,46259.19213989678,51297.27668952942,97556.4688294262,9
2026-02-20,53491.56759937707,44145.300681591034,97636.8682809681,8
2026-02-23,60711.188364872374,38974.00135755539,99685.18972242776,7
2026-02-24,54635.85193641579,43542.90865898132,98178.76059539712,8
2026-02-25,49171.42625825007,48476.19429588318,97647.62055413325,9
2026-02-26,49171.42625825007,47830.917806625366,97002.34406487543,9
2026-02-27,55335.990914316964,44081.18221759796,99417.17313191493,8
2026-03-02,54555.38677900198,43256.39669418335,97811.78347318532,8
2026-03-03,49097.2198675053,50780.64823150635,99877.86809901166,9
2026-03-04,44183.05965147453,54231.25042247772,98414.31007395225,10
2026-03-05,49249.21291199165,52226.534729003906,101475.74764099556,9
2026-03-06,55198.88422747093,49945.33943891525,105144.22366638618,8
2026-03-09,49679.180634247925,53518.686912059784,103197.86754630771,9
2026-03-10,44710.19744832743,58539.82046985626,103250.0179181837,10
2026-03-11,44710.19744832743,58970.89191055298,103681.08935888042,10
2026-03-12,40239.10327788852,67391.44691467285,107630.55019256138,11
2026-03-13,40239.10327788852,68223.44360351562,108462.54688140415,11
2026-03-16,46941.752178683506,59482.07947015762,106423.83164884112,10
2026-03-17,46941.752178683506,58402.10100507736,105343.85318376086,10
2026-03-18,46941.752178683506,61226.66499090195,108168.41716958545,10
2026-03-19,53624.060772242774,53376.35205030441,107000.4128225472,9
2026-03-20,53624.060772242774,56920.01092672348,110544.07169896626,9
2026-03-23,59645.27065955662,47202.53911733627,106847.80977689289,8
2026-03-24,59645.27065955662,46409.21987390518,106054.4905334618,8
2026-03-25,59645.27065955662,44756.46987390518,104401.7405334618,8
2026-03-26,66587.5405296471,40255.31924724579,106842.85977689289,7
2026-03-27,73529.3407413628,35394.63107872009,108923.9718200829,6
2026-03-30,73529.3407413628,36949.92071914673,110479.26146050953,6
2026-03-31,73529.3407413628,33085.25991010666,106614.60065146946,6
2026-04-01,80028.5506153252,25968.40949678421,105996.96011210942,5
2026-04-02,85723.94059926533,19815.789944171906,105539.73054343724,4
2026-04-06,91042.95046245122,14228.399634361267,105271.35009681249,3
2026-04-07,91042.95046245122,14121.900243759155,105164.85070621037,3
2026-04-08,95672.30060855413,8252.200260162354,103924.50086871648,2
2026-04-09,100040.600468364,3742.549880027771,103783.15034839178,1
2026-04-10,100040.600468364,3774.0,103814.600468364,1
2026-04-13,103639.82048036123,0.0,103639.82048036123,0
2026-04-14,103639.82048036123,0.0,103639.82048036123,0
2026-04-15,103639.82048036123,0.0,103639.82048036123,0
2026-04-16,103639.82048036123,0.0,103639.82048036123,0
2026-04-17,103639.82048036123,0.0,103639.82048036123,0
