date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,100000.0,0.0,100000.0,0
2026-01-06,100000.0,0.0,100000.0,0
2026-01-07,100000.0,0.0,100000.0,0
2026-01-08,100000.0,0.0,100000.0,0
2026-01-09,100000.0,0.0,100000.0,0
2026-01-12,100000.0,0.0,100000.0,0
2026-01-13,100000.0,0.0,100000.0,0
2026-01-14,100000.0,0.0,100000.0,0
2026-01-15,100000.0,0.0,100000.0,0
2026-01-16,100000.0,0.0,100000.0,0
2026-01-20,100000.0,0.0,100000.0,0
2026-01-21,100000.0,0.0,100000.0,0
2026-01-22,100000.0,0.0,100000.0,0
2026-01-23,100000.0,0.0,100000.0,0
2026-01-26,100000.0,0.0,100000.0,0
2026-01-27,100000.0,0.0,100000.0,0
2026-01-28,100000.0,0.0,100000.0,0
2026-01-29,100000.0,0.0,100000.0,0
2026-01-30,100000.0,0.0,100000.0,0
2026-02-02,100000.0,0.0,100000.0,0
2026-02-03,100000.0,0.0,100000.0,0
2026-02-04,100000.0,0.0,100000.0,0
2026-02-05,100000.0,0.0,100000.0,0
2026-02-06,100000.0,0.0,100000.0,0
2026-02-09,100000.0,0.0,100000.0,0
2026-02-10,100000.0,0.0,100000.0,0
2026-02-11,100000.0,0.0,100000.0,0
2026-02-12,100000.0,0.0,100000.0,0
2026-02-13,100000.0,0.0,100000.0,0
2026-02-17,100000.0,0.0,100000.0,0
2026-02-18,100000.0,0.0,100000.0,0
2026-02-19,100000.0,0.0,100000.0,0
2026-02-20,100000.0,0.0,100000.0,0
2026-02-23,100000.0,0.0,100000.0,0
2026-02-24,100000.0,0.0,100000.0,0
2026-02-25,100000.0,0.0,100000.0,0
2026-02-26,100000.0,0.0,100000.0,0
2026-02-27,100000.0,0.0,100000.0,0
2026-03-02,100000.0,0.0,100000.0,0
2026-03-03,100000.0,0.0,100000.0,0
2026-03-04,100000.0,0.0,100000.0,0
2026-03-05,100000.0,0.0,100000.0,0
2026-03-06,100000.0,0.0,100000.0,0
2026-03-09,100000.0,0.0,100000.0,0
2026-03-10,100000.0,0.0,100000.0,0
2026-03-11,100000.0,0.0,100000.0,0
2026-03-12,100000.0,0.0,100000.0,0
2026-03-13,100000.0,0.0,100000.0,0
2026-03-16,90008.18944620866,9977.330888748169,99985.52033495683,1
2026-03-17,81019.56976454626,18823.257162094116,99842.82692664038,2
2026-03-18,72924.04994564255,27551.711233139038,100475.76117878158,3
2026-03-19,72924.04994564255,27543.059156417847,100467.10910206039,3
2026-03-20,100357.0729982396,0.0,100357.0729982396,0
2026-03-23,100357.0729982396,0.0,100357.0729982396,0
2026-03-24,100357.0729982396,0.0,100357.0729982396,0
2026-03-25,100357.0729982396,0.0,100357.0729982396,0
2026-03-26,100357.0729982396,0.0,100357.0729982396,0
2026-03-27,100357.0729982396,0.0,100357.0729982396,0
2026-03-30,100357.0729982396,0.0,100357.0729982396,0
2026-03-31,100357.0729982396,0.0,100357.0729982396,0
2026-04-01,100357.0729982396,0.0,100357.0729982396,0
2026-04-02,100357.0729982396,0.0,100357.0729982396,0
2026-04-06,90335.62309742173,9831.25,100166.87309742173,1
2026-04-07,90335.62309742173,9837.750148773193,100173.37324619493,1
2026-04-08,90335.62309742173,9314.499950408936,99650.12304783067,1
2026-04-09,90335.62309742173,9262.5,99598.12309742173,1
2026-04-10,99797.92282467088,0.0,99797.92282467088,0
2026-04-13,89816.2027212163,9539.45979309082,99355.66251430711,1
2026-04-14,80834.11286678514,18409.140300750732,99243.25316753588,2
2026-04-15,80834.11286678514,18133.20025062561,98967.31311741075,2
2026-04-16,80834.11286678514,18218.609699249268,99052.72256603441,2
2026-04-17,98773.45266628466,0.0,98773.45266628466,0
