date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,100000.0,0.0,100000.0,0
2026-01-06,100000.0,0.0,100000.0,0
2026-01-07,100000.0,0.0,100000.0,0
2026-01-08,100000.0,0.0,100000.0,0
2026-01-09,100000.0,0.0,100000.0,0
2026-01-12,100000.0,0.0,100000.0,0
2026-01-13,100000.0,0.0,100000.0,0
2026-01-14,100000.0,0.0,100000.0,0
2026-01-15,100000.0,0.0,100000.0,0
2026-01-16,100000.0,0.0,100000.0,0
2026-01-20,100000.0,0.0,100000.0,0
2026-01-21,100000.0,0.0,100000.0,0
2026-01-22,100000.0,0.0,100000.0,0
2026-01-23,100000.0,0.0,100000.0,0
2026-01-26,100000.0,0.0,100000.0,0
2026-01-27,100000.0,0.0,100000.0,0
2026-01-28,100000.0,0.0,100000.0,0
2026-01-29,100000.0,0.0,100000.0,0
2026-01-30,100000.0,0.0,100000.0,0
2026-02-02,100000.0,0.0,100000.0,0
2026-02-03,100000.0,0.0,100000.0,0
2026-02-04,100000.0,0.0,100000.0,0
2026-02-05,100000.0,0.0,100000.0,0
2026-02-06,100000.0,0.0,100000.0,0
2026-02-09,100000.0,0.0,100000.0,0
2026-02-10,100000.0,0.0,100000.0,0
2026-02-11,100000.0,0.0,100000.0,0
2026-02-12,100000.0,0.0,100000.0,0
2026-02-13,100000.0,0.0,100000.0,0
2026-02-17,100000.0,0.0,100000.0,0
2026-02-18,100000.0,0.0,100000.0,0
2026-02-19,100000.0,0.0,100000.0,0
2026-02-20,100000.0,0.0,100000.0,0
2026-02-23,100000.0,0.0,100000.0,0
2026-02-24,100000.0,0.0,100000.0,0
2026-02-25,100000.0,0.0,100000.0,0
2026-02-26,100000.0,0.0,100000.0,0
2026-02-27,100000.0,0.0,100000.0,0
2026-03-02,100000.0,0.0,100000.0,0
2026-03-03,100000.0,0.0,100000.0,0
2026-03-04,100000.0,0.0,100000.0,0
2026-03-05,100000.0,0.0,100000.0,0
2026-03-06,100000.0,0.0,100000.0,0
2026-03-09,100000.0,0.0,100000.0,0
2026-03-10,100000.0,0.0,100000.0,0
2026-03-11,100000.0,0.0,100000.0,0
2026-03-12,100000.0,0.0,100000.0,0
2026-03-13,100000.0,0.0,100000.0,0
2026-03-16,90030.86856209989,9934.337417602539,99965.20597970243,1
2026-03-17,90030.86856209989,9857.862014770508,99888.7305768704,1
2026-03-18,90030.86856209989,10270.083053588867,100300.95161568875,1
2026-03-19,90030.86856209989,10361.48046875,100392.34903084989,1
2026-03-20,90030.86856209989,10824.062850952148,100854.93141305204,1
2026-03-23,90030.86856209989,10477.125885009766,100507.99444710965,1
2026-03-24,90030.86856209989,10581.579971313477,100612.44853341336,1
2026-03-25,90030.86856209989,10415.200286865234,100446.06884896512,1
2026-03-26,90030.86856209989,10975.440200805664,101006.30876290555,1
2026-03-27,90030.86856209989,11546.959655761719,101577.8282178616,1
2026-03-30,90030.86856209989,11667.280258178711,101698.1488202786,1
2026-03-31,90030.86856209989,10667.120315551758,100697.98887765165,1
2026-04-01,90030.86856209989,10420.840057373047,100451.70861947293,1
2026-04-02,90030.86856209989,10402.040344238281,100432.90890633817,1
2026-04-06,90030.86856209989,10268.559799194336,100299.42836129422,1
2026-04-07,90030.86856209989,10253.52017211914,100284.38873421903,1
2026-04-08,90030.86856209989,9480.840057373047,99511.70861947293,1
2026-04-09,90030.86856209989,9317.280258178711,99348.1488202786,1
2026-04-10,90030.86856209989,9349.23991394043,99380.10847604032,1
2026-04-13,90030.86856209989,9078.52017211914,99109.38873421903,1
2026-04-14,90030.86856209989,8753.280258178711,98784.1488202786,1
2026-04-15,98572.39838998075,0.0,98572.39838998075,0
2026-04-16,98572.39838998075,0.0,98572.39838998075,0
2026-04-17,98572.39838998075,0.0,98572.39838998075,0
