open_date,close_date,market_id,question,topic,side,entry_price,exit_price,shares,committed,proceeds,realized_pnl,forced_exit
2026-01-05,2026-01-06,1082748,"Will Bitcoin reach $150,000 in January?",crypto,NO,0.9955,0.9965,558.0668564093978,555.5555555555555,556.1136224119649,0.5580668564093685,False
2026-01-05,2026-01-06,1092199,"US strikes Iran by January 31, 2026?",iran-strike,NO,0.77,0.865,721.5007215007215,555.5555555555555,624.0981240981241,68.54256854256857,False
2026-01-05,2026-01-06,1094682,Maduro in U.S. custody by January 31?,venezuela,NO,0.0005,0.0005,1111111.111111111,555.5555555555555,555.5555555555555,0.0,False
2026-01-05,2026-01-06,567687,Russia x Ukraine ceasefire by end of 2026?,ukraine-ceasefire,NO,0.565,0.545,983.2841691248772,555.5555555555555,535.889872173058,-19.66568338249749,False
2026-01-05,2026-01-06,573655,"Will Bitcoin hit $150k by June 30, 2026?",crypto,NO,0.855,0.825,649.772579597141,555.5555555555555,536.0623781676413,-19.493177387914216,False
2026-01-05,2026-01-06,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,NO,0.765,0.775,726.2164124909223,555.5555555555555,562.8177196804647,7.262164124909191,False
2026-01-05,2026-01-06,601697,Fed decreases interest rates by 50+ bps after January 2026 meeting?,fed-cut,NO,0.9925,0.9935,559.7537083683179,555.5555555555555,556.1153092639239,0.5597537083683619,False
2026-01-05,2026-01-06,601698,Fed decreases interest rates by 25 bps after January 2026 meeting?,fed-cut,NO,0.905,0.895,613.8735420503376,555.5555555555555,549.4168201350521,-6.138735420503394,False
2026-01-05,2026-01-06,654413,Will the Fed decrease interest rates by 25 bps after the March 2026 meeting?,fed-cut,NO,0.635,0.615,874.8906386701661,555.5555555555555,538.0577427821522,-17.497812773403325,False
2026-01-05,2026-01-06,669660,Will the Fed decrease interest rates by 50+ bps after the April 2026 meeting?,fed-cut,NO,0.9595,0.96,579.0052689479475,555.5555555555555,555.8450581900296,0.2895026344740472,False
2026-01-05,2026-01-06,704339,"Russia x Ukraine ceasefire by January 31, 2026?",ukraine-ceasefire,NO,0.952,0.9655,583.5667600373483,555.5555555555555,563.4337068160598,7.878151260504296,False
2026-01-05,2026-01-06,706279,Will Trump visit China by April 30?,trump-calls,NO,0.2,0.175,2777.7777777777774,555.5555555555555,486.11111111111103,-69.44444444444451,False
2026-01-05,2026-01-06,916440,"Maduro out by January 31, 2026?",venezuela,NO,0.925,0.925,600.6006006006006,555.5555555555555,555.5555555555555,0.0,False
2026-01-05,2026-01-06,916732,Khamenei out as Supreme Leader of Iran by March 31?,iran-regime,NO,0.79,0.79,703.2348804500702,555.5555555555555,555.5555555555555,0.0,False
2026-01-05,2026-01-06,920389,Will Trump talk to Vladimir Putin in January?,trump-calls,NO,0.34,0.335,1633.986928104575,555.5555555555555,547.3856209150327,-8.169934640522797,False
2026-01-05,2026-01-06,920396,Will Trump talk to Emmanuel Macron in January?,trump-calls,NO,0.2,0.22,2777.7777777777774,555.5555555555555,611.111111111111,55.55555555555543,False
2026-01-05,2026-01-06,958442,Will the Iranian regime fall by March 31?,iran-regime,NO,0.8665,0.862,641.1489388985061,555.5555555555555,552.6703853305123,-2.8851702250432254,False
2026-01-05,2026-01-06,997488,Will Trump acquire Greenland before 2027?,greenland,NO,0.905,0.91,613.8735420503376,555.5555555555555,558.6249232658073,3.069367710251754,False
2026-01-07,2026-01-08,1082748,"Will Bitcoin reach $150,000 in January?",crypto,YES,0.008,0.0055,69444.73623063792,555.5578898451034,381.94604926850855,-173.6118405765949,False
2026-01-07,2026-01-08,1092199,"US strikes Iran by January 31, 2026?",iran-strike,YES,0.145,0.175,3831.433723069679,555.5578898451034,670.5009015371938,114.94301169209041,False
2026-01-07,2026-01-08,1094682,Maduro in U.S. custody by January 31?,venezuela,YES,0.9995,0.9995,555.8358077489779,555.5578898451034,555.5578898451034,0.0,False
2026-01-07,2026-01-08,567687,Russia x Ukraine ceasefire by end of 2026?,ukraine-ceasefire,YES,0.445,0.445,1248.4446962811312,555.5578898451034,555.5578898451034,0.0,False
2026-01-07,2026-01-08,573655,"Will Bitcoin hit $150k by June 30, 2026?",crypto,YES,0.175,0.165,3174.6165134005914,555.5578898451034,523.8117247110976,-31.746165134005878,False
2026-01-07,2026-01-08,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,YES,0.22,0.23,2525.263135659561,555.5578898451034,580.8105212016991,25.252631356595657,False
2026-01-07,2026-01-08,601697,Fed decreases interest rates by 50+ bps after January 2026 meeting?,fed-cut,YES,0.0055,0.0055,101010.52542638245,555.5578898451034,555.5578898451034,0.0,False
2026-01-07,2026-01-08,601698,Fed decreases interest rates by 25 bps after January 2026 meeting?,fed-cut,YES,0.105,0.075,5291.027522334319,555.5578898451034,396.8270641750739,-158.73082567002956,False
2026-01-07,2026-01-08,654413,Will the Fed decrease interest rates by 25 bps after the March 2026 meeting?,fed-cut,YES,0.385,0.375,1443.0075060911777,555.5578898451034,541.1278147841916,-14.430075060911804,False
2026-01-07,2026-01-08,669660,Will the Fed decrease interest rates by 50+ bps after the April 2026 meeting?,fed-cut,YES,0.039,0.0655,14245.074098592395,555.5578898451034,933.0523534578019,377.4944636126985,False
2026-01-07,2026-01-08,704339,"Russia x Ukraine ceasefire by January 31, 2026?",ukraine-ceasefire,YES,0.0305,0.0285,18215.01278180667,555.5578898451034,519.12786428149,-36.43002556361341,False
2026-01-07,2026-01-08,706279,Will Trump visit China by April 30?,trump-calls,YES,0.835,0.82,665.3387902336568,555.5578898451034,545.5778079915985,-9.980081853504885,False
2026-01-07,2026-01-08,916440,"Maduro out by January 31, 2026?",venezuela,YES,0.075,0.075,7407.438531268046,555.5578898451034,555.5578898451034,0.0,False
2026-01-07,2026-01-08,916732,Khamenei out as Supreme Leader of Iran by March 31?,iran-regime,YES,0.225,0.24,2469.1461770893484,555.5578898451034,592.5950825014436,37.03719265634015,False
2026-01-07,2026-01-08,920389,Will Trump talk to Vladimir Putin in January?,trump-calls,YES,0.685,0.655,811.0334158322677,555.5578898451034,531.2268873701354,-24.331002474968045,False
2026-01-07,2026-01-08,920396,Will Trump talk to Emmanuel Macron in January?,trump-calls,YES,0.795,0.79,698.8149557800043,555.5578898451034,552.0638150662035,-3.4940747788999715,False
2026-01-07,2026-01-08,958442,Will the Iranian regime fall by March 31?,iran-regime,YES,0.135,0.1605,4115.243628482247,555.5578898451034,660.4966023714006,104.9387125262972,False
2026-01-07,2026-01-08,997488,Will Trump acquire Greenland before 2027?,greenland,YES,0.125,0.145,4444.4631187608275,555.5578898451034,644.4471522203199,88.8892623752165,False
2026-01-14,2026-01-15,1082748,"Will Bitcoin reach $150,000 in January?",crypto,YES,0.0035,0.0035,130254.832928864,455.891915251024,455.891915251024,0.0,False
2026-01-14,2026-01-15,1092199,"US strikes Iran by January 31, 2026?",iran-strike,YES,0.645,0.63,706.8091709318201,455.89191525102393,445.28977768704664,-10.602137563977294,False
2026-01-14,2026-01-15,1094682,Maduro in U.S. custody by January 31?,venezuela,YES,0.9995,0.9995,456.1199752386433,455.891915251024,455.891915251024,0.0,False
2026-01-14,2026-01-15,1126504,Will the US acquire part of Greenland in 2026?,greenland,YES,0.225,0.225,2026.186290004551,455.891915251024,455.891915251024,0.0,False
