date,cash,positions_mtm,total_value,num_open
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-20,100000.0,0.0,100000.0,0
2025-12-21,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-25,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-27,100000.0,0.0,100000.0,0
2025-12-28,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-01,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-03,100000.0,0.0,100000.0,0
2026-01-04,100000.0,0.0,100000.0,0
2026-01-05,89999.99999999988,9999.999999999998,99999.99999999988,18
2026-01-06,89999.99999999988,10000.420172118711,100000.4201721186,18
2026-01-07,80999.99999999988,18875.39598045268,99875.39598045257,36
2026-01-08,80999.99999999988,19198.990111783976,100198.99011178386,36
2026-01-09,80999.99999999988,19986.543481782202,100986.54348178208,36
2026-01-10,80999.99999999988,19904.72978379634,100904.72978379623,36
2026-01-11,80999.99999999988,20718.702149571956,101718.70214957184,36
2026-01-12,80999.99999999988,20662.76409615762,101662.76409615751,36
2026-01-13,80999.99999999988,20372.807504114116,101372.807504114,36
2026-01-14,72899.99999999977,28583.46253778085,101483.46253778062,58
2026-01-15,72899.99999999977,28773.26183995935,101673.26183995912,58
2026-01-16,72899.99999999977,26752.624087858047,99652.62408785781,58
2026-01-17,72899.99999999977,25952.727057263965,98852.72705726374,58
2026-01-18,65609.99999999985,33320.776566982066,98930.77656698192,80
2026-01-19,65609.99999999985,33025.37255239091,98635.37255239076,80
2026-01-20,65609.99999999985,31826.447436419723,97436.44743641958,80
2026-01-21,59048.99999999988,37395.90211086295,96444.90211086284,103
2026-01-22,53144.09999999998,43712.77204572658,96856.87204572656,126
2026-01-23,53144.09999999998,44450.49629034794,97594.59629034792,126
2026-01-24,53144.09999999998,45176.11746771781,98320.2174677178,126
2026-01-25,53144.09999999998,41477.236975306994,94621.33697530697,126
2026-01-26,53144.09999999998,40509.93385691183,93654.03385691182,126
2026-01-27,53144.09999999998,39640.82559329139,92784.92559329137,126
2026-01-28,49346.94275276399,42628.23844396571,91975.18119672971,138
2026-01-29,44823.473000427286,46624.781158872545,91448.25415929983,158
2026-01-30,44823.473000427286,54131.67981533683,98955.15281576412,158
2026-01-31,63121.331394195826,31873.5012255667,94994.83261976253,100
2026-02-01,64221.23727874997,30732.369141043044,94953.60641979301,92
2026-02-02,64221.23727874997,27810.298200782516,92031.53547953248,92
2026-02-03,64221.23727874997,26813.97071377341,91035.20799252338,92
2026-02-04,62504.088272175,28029.47726768283,90533.56553985784,97
2026-02-05,62504.088272175,27438.211934435094,89942.30020661009,97
2026-02-06,66195.83226924262,25160.68830361602,91356.52057285863,88
2026-02-07,66195.83226924262,23780.207731828767,89976.04000107138,88
2026-02-08,59576.24904231834,29908.191549097224,89484.44059141556,102
2026-02-09,59576.24904231834,29242.93488150601,88819.18392382436,102
2026-02-10,59576.24904231834,29416.453965410634,88992.70300772897,102
2026-02-11,59576.24904231834,29212.872535347342,88789.12157766568,102
2026-02-12,53618.62413808652,32802.66355115668,86421.2876892432,116
2026-02-13,56472.13072075366,29587.068417494145,86059.1991382478,104
2026-02-14,56472.13072075366,30815.468338464383,87287.59905921805,104
2026-02-15,56472.13072075366,30344.28997807286,86816.42069882652,104
2026-02-16,56472.13072075366,29689.807095805565,86161.93781655922,104
2026-02-17,59267.075952427505,26657.165015045957,85924.24096747347,92
2026-02-18,59267.075952427505,27335.65242245271,86602.72837488021,92
2026-02-19,59267.075952427505,27230.88825232087,86497.96420474838,92
2026-02-20,62265.49755746595,25247.734068988284,87513.23162645423,80
2026-02-21,64814.35121638826,21883.46775420124,86697.8189705895,68
2026-02-22,64814.35121638826,21256.826160254066,86071.17737664233,68
2026-02-23,64814.35121638826,20762.13715643871,85576.48837282698,68
2026-02-24,58332.91609474946,26648.16624082678,84981.08233557624,82
2026-02-25,58332.91609474946,26496.169807948798,84829.08590269825,82
