open_date,close_date,market_id,question,topic,side,entry_price,exit_price,shares,committed,proceeds,realized_pnl,forced_exit
2026-01-05,2026-01-06,1082748,"Will Bitcoin reach $150,000 in January?",crypto,YES,0.0045,0.0035,123456.7901234568,555.5555555555555,432.0987654320988,-123.45679012345676,False
2026-01-05,2026-01-06,1092199,"US strikes Iran by January 31, 2026?",iran-strike,YES,0.23,0.135,2415.4589371980674,555.5555555555555,326.0869565217391,-229.46859903381642,False
2026-01-05,2026-01-06,1094682,Maduro in U.S. custody by January 31?,venezuela,YES,0.9995,0.9995,555.8334722917014,555.5555555555555,555.5555555555555,0.0,False
2026-01-05,2026-01-06,567687,Russia x Ukraine ceasefire by end of 2026?,ukraine-ceasefire,YES,0.435,0.455,1277.1392081736908,555.5555555555555,581.0983397190294,25.54278416347381,False
2026-01-05,2026-01-06,573655,"Will Bitcoin hit $150k by June 30, 2026?",crypto,YES,0.145,0.175,3831.417624521073,555.5555555555555,670.4980842911878,114.94252873563221,False
2026-01-05,2026-01-06,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,YES,0.235,0.225,2364.066193853428,555.5555555555555,531.9148936170213,-23.64066193853421,False
2026-01-05,2026-01-06,601697,Fed decreases interest rates by 50+ bps after January 2026 meeting?,fed-cut,YES,0.0075,0.0065,74074.07407407407,555.5555555555555,481.48148148148147,-74.07407407407408,False
2026-01-05,2026-01-06,601698,Fed decreases interest rates by 25 bps after January 2026 meeting?,fed-cut,YES,0.095,0.105,5847.953216374269,555.5555555555555,614.0350877192982,58.47953216374265,False
2026-01-05,2026-01-06,654413,Will the Fed decrease interest rates by 25 bps after the March 2026 meeting?,fed-cut,YES,0.365,0.385,1522.0700152207,555.5555555555555,585.9969558599695,30.441400304413946,False
2026-01-05,2026-01-06,669660,Will the Fed decrease interest rates by 50+ bps after the April 2026 meeting?,fed-cut,YES,0.0405,0.04,13717.421124828532,555.5555555555555,548.6968449931413,-6.858710562414217,False
2026-01-05,2026-01-06,704339,"Russia x Ukraine ceasefire by January 31, 2026?",ukraine-ceasefire,YES,0.048,0.0345,11574.074074074073,555.5555555555555,399.30555555555554,-156.25,False
2026-01-05,2026-01-06,706279,Will Trump visit China by April 30?,trump-calls,YES,0.8,0.825,694.4444444444443,555.5555555555555,572.9166666666665,17.361111111110972,False
2026-01-05,2026-01-06,916440,"Maduro out by January 31, 2026?",venezuela,YES,0.075,0.075,7407.407407407408,555.5555555555555,555.5555555555555,0.0,False
2026-01-05,2026-01-06,916732,Khamenei out as Supreme Leader of Iran by March 31?,iran-regime,YES,0.21,0.21,2645.5026455026455,555.5555555555555,555.5555555555555,0.0,False
2026-01-05,2026-01-06,920389,Will Trump talk to Vladimir Putin in January?,trump-calls,YES,0.66,0.665,841.7508417508417,555.5555555555555,559.7643097643097,4.208754208754158,False
2026-01-05,2026-01-06,920396,Will Trump talk to Emmanuel Macron in January?,trump-calls,YES,0.8,0.78,694.4444444444443,555.5555555555555,541.6666666666666,-13.888888888888914,False
2026-01-05,2026-01-06,958442,Will the Iranian regime fall by March 31?,iran-regime,YES,0.1335,0.138,4161.464835622139,555.5555555555555,574.2821473158552,18.726591760299698,False
2026-01-05,2026-01-06,997488,Will Trump acquire Greenland before 2027?,greenland,YES,0.095,0.09,5847.953216374269,555.5555555555555,526.3157894736842,-29.23976608187138,False
2026-01-07,2026-01-08,1082748,"Will Bitcoin reach $150,000 in January?",crypto,NO,0.992,0.9945,557.8675247073493,553.4045845096905,554.7992533214589,1.3946688117683834,False
2026-01-07,2026-01-08,1092199,"US strikes Iran by January 31, 2026?",iran-strike,NO,0.855,0.825,647.2568239879421,553.4045845096905,533.9868797900522,-19.417704719638323,False
2026-01-07,2026-01-08,1094682,Maduro in U.S. custody by January 31?,venezuela,NO,0.0005,0.0005,1106809.169019381,553.4045845096905,553.4045845096905,0.0,False
2026-01-07,2026-01-08,567687,Russia x Ukraine ceasefire by end of 2026?,ukraine-ceasefire,NO,0.555,0.555,997.1253774949378,553.4045845096905,553.4045845096905,0.0,False
2026-01-07,2026-01-08,573655,"Will Bitcoin hit $150k by June 30, 2026?",crypto,NO,0.825,0.835,670.7934357693218,553.4045845096905,560.1125188673838,6.7079343576932615,False
2026-01-07,2026-01-08,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,NO,0.78,0.77,709.4930570637057,553.4045845096905,546.3096539390534,-7.094930570637075,False
