date,cash,positions_mtm,total_value,num_open
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-20,100000.0,0.0,100000.0,0
2025-12-21,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-25,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-27,100000.0,0.0,100000.0,0
2025-12-28,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-01,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-03,100000.0,0.0,100000.0,0
2026-01-04,100000.0,0.0,100000.0,0
2026-01-05,90000.00000000001,10000.0,100000.00000000001,3
2026-01-06,90000.00000000001,10153.256704980844,100153.25670498086,3
2026-01-07,81000.00000000001,19076.62835249042,100076.62835249043,6
2026-01-08,81000.00000000001,19038.166814028882,100038.1668140289,6
2026-01-09,100095.56439728853,0.0,100095.56439728853,0
2026-01-10,100095.56439728853,0.0,100095.56439728853,0
2026-01-11,100095.56439728853,0.0,100095.56439728853,0
2026-01-12,100095.56439728853,0.0,100095.56439728853,0
2026-01-13,100095.56439728853,0.0,100095.56439728853,0
2026-01-14,90086.00795755968,10009.556439728854,100095.56439728853,1
2026-01-15,90086.00795755968,9601.003115658288,99687.01107321796,1
2026-01-16,99618.91885253953,0.0,99618.91885253953,0
2026-01-17,99618.91885253953,0.0,99618.91885253953,0
2026-01-18,89657.02696728556,9961.891885253954,99618.91885253951,3
2026-01-19,89657.02696728556,9988.646015569113,99645.67298285468,3
2026-01-20,89657.02696728556,10134.072732653403,99791.09969993896,3
2026-01-21,80691.324270557,19191.666925005917,99882.99119556292,4
2026-01-22,72622.19184350132,27245.70128725494,99867.89313075626,8
2026-01-23,100016.40779638749,0.0,100016.40779638749,0
2026-01-24,100016.40779638749,0.0,100016.40779638749,0
2026-01-25,100016.40779638749,0.0,100016.40779638749,0
2026-01-26,100016.40779638749,0.0,100016.40779638749,0
2026-01-27,100016.40779638749,0.0,100016.40779638749,0
2026-01-28,90014.76701674872,10001.64077963875,100016.40779638747,4
2026-01-29,90014.76701674872,9882.386419506744,99897.15343625547,4
2026-01-30,99772.42698087356,0.0,99772.42698087356,0
2026-01-31,99772.42698087356,0.0,99772.42698087356,0
2026-02-01,99772.42698087356,0.0,99772.42698087356,0
2026-02-02,99772.42698087356,0.0,99772.42698087356,0
2026-02-03,99772.42698087356,0.0,99772.42698087356,0
2026-02-04,99772.42698087356,0.0,99772.42698087356,0
2026-02-05,99772.42698087356,0.0,99772.42698087356,0
2026-02-06,99772.42698087356,0.0,99772.42698087356,0
2026-02-07,99772.42698087356,0.0,99772.42698087356,0
2026-02-08,89795.18428278618,9977.242698087357,99772.42698087354,3
2026-02-09,89795.18428278618,9961.007924105828,99756.19220689201,3
2026-02-10,89795.18428278618,9961.027096600817,99756.21137938701,3
2026-02-11,89795.18428278618,9881.36847226479,99676.55275505097,3
2026-02-12,89795.18428278618,9997.176526666351,99792.36080945254,3
2026-02-13,99712.7021851165,0.0,99712.7021851165,0
2026-02-14,99712.7021851165,0.0,99712.7021851165,0
2026-02-15,99712.7021851165,0.0,99712.7021851165,0
2026-02-16,99712.7021851165,0.0,99712.7021851165,0
2026-02-17,99712.7021851165,0.0,99712.7021851165,0
2026-02-18,99712.7021851165,0.0,99712.7021851165,0
2026-02-19,99712.7021851165,0.0,99712.7021851165,0
2026-02-20,99712.7021851165,0.0,99712.7021851165,0
2026-02-21,99712.7021851165,0.0,99712.7021851165,0
2026-02-22,99712.7021851165,0.0,99712.7021851165,0
2026-02-23,99712.7021851165,0.0,99712.7021851165,0
2026-02-24,99712.7021851165,0.0,99712.7021851165,0
2026-02-25,99712.7021851165,0.0,99712.7021851165,0
2026-02-26,99712.7021851165,0.0,99712.7021851165,0
2026-02-27,99712.7021851165,0.0,99712.7021851165,0
2026-02-28,99712.7021851165,0.0,99712.7021851165,0
2026-03-01,99712.7021851165,0.0,99712.7021851165,0
