date,cash,positions_mtm,total_value,num_open
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-20,100000.0,0.0,100000.0,0
2025-12-21,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-25,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-27,100000.0,0.0,100000.0,0
2025-12-28,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-01,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-03,100000.0,0.0,100000.0,0
2026-01-04,100000.0,0.0,100000.0,0
2026-01-05,89999.99999999988,9999.999999999998,99999.99999999988,18
2026-01-06,89999.99999999988,9612.82521174437,99612.82521174426,18
2026-01-07,80999.99999999988,19299.928477820606,100299.92847782049,36
2026-01-08,80999.99999999988,19487.321521237805,100487.3215212377,36
2026-01-09,80999.99999999988,20056.708898839897,101056.70889883977,36
2026-01-10,80999.99999999988,20010.01164151191,101010.0116415118,36
2026-01-11,80999.99999999988,20632.430101437687,101632.43010143757,36
2026-01-12,80999.99999999988,20567.6427259841,101567.64272598398,36
2026-01-13,80999.99999999988,20273.225994421013,101273.22599442089,36
2026-01-14,72899.99999999977,28496.658572266173,101396.65857226594,58
2026-01-15,72899.99999999977,28635.672156997447,101535.67215699721,58
2026-01-16,72899.99999999977,27729.123397793035,100629.1233977928,58
2026-01-17,72899.99999999977,27281.656805169812,100181.65680516958,58
2026-01-18,65609.99999999985,34540.9104226672,100150.91042266705,80
2026-01-19,65609.99999999985,35169.13918910597,100779.13918910583,80
2026-01-20,65609.99999999985,34601.74377098523,100211.74377098508,80
2026-01-21,59048.99999999988,44213.6115872277,103262.61158722758,103
2026-01-22,53144.09999999998,48609.71607531528,101753.81607531526,126
2026-01-23,53144.09999999998,48459.4461406871,101603.54614068707,126
2026-01-24,53144.09999999998,48485.17393920624,101629.2739392062,126
2026-01-25,53144.09999999998,47932.4011725459,101076.50117254588,126
2026-01-26,53144.09999999998,49534.35334382778,102678.45334382776,126
2026-01-27,53144.09999999998,48775.14596017642,101919.2459601764,126
2026-01-28,51104.43646427939,53247.91078856067,104352.34725284006,138
2026-01-29,46419.86312172045,51971.25918411767,98391.12230583813,141
2026-01-30,46419.86312172045,50469.2241930876,96889.08731480804,141
2026-01-31,62401.53524406801,35029.82069199434,97431.35593606235,91
2026-02-01,65480.1617803635,31793.464797221448,97273.62657758495,83
2026-02-02,65480.1617803635,31939.585454367825,97419.74723473133,83
2026-02-03,65480.1617803635,32149.087542910605,97629.24932327411,83
2026-02-04,62855.32525400749,34823.27434595536,97678.59959996285,88
2026-02-05,62855.32525400749,34250.670155240136,97105.99540924763,88
2026-02-06,67604.40189641509,29566.764462291892,97171.16635870698,79
2026-02-07,67604.40189641509,29632.2295764973,97236.63147291238,79
2026-02-08,60843.96170677354,36580.248886724745,97424.21059349828,93
2026-02-09,60843.96170677354,36641.684339337706,97485.64604611124,93
2026-02-10,60843.96170677354,36211.53005165974,97055.49175843329,93
2026-02-11,60843.96170677354,36549.718759283205,97393.68046605674,93
2026-02-12,54759.56553609621,43049.153551225514,97808.71908732172,105
2026-02-13,59635.34258972232,37759.881826042896,97395.22441576522,93
2026-02-14,59635.34258972232,37978.33573097581,97613.67832069812,93
2026-02-15,59635.34258972232,38366.28823867323,98001.63082839554,93
2026-02-16,59635.34258972232,38415.825109279715,98051.16769900204,93
2026-02-17,63819.51026747223,34140.95657841393,97960.46684588616,81
2026-02-18,63819.51026747223,34114.77431830888,97934.2845857811,81
2026-02-19,63819.51026747223,34180.01302649046,97999.52329396269,81
2026-02-20,67234.37622959694,30097.172527508985,97331.54875710592,69
2026-02-21,70290.87860982468,26568.98013487714,96859.85874470182,57
2026-02-22,70290.87860982468,26702.127215388864,96993.00582521353,57
2026-02-23,70290.87860982468,26760.54377705321,97051.4223868779,57
2026-02-24,63261.79074884217,33864.90034017001,97126.69108901218,70
