ticker,name,iv,width,window,return,wins,losses,avg_debit
SPY,S&P 500,21%,$2,next_day,25.928202091416637,7,6,0.8767713786107877
SPY,S&P 500,21%,$2,end_of_week,-0.36638474153408607,6,7,0.9091560149711706
SPY,S&P 500,21%,$2,thirty_day,88.12275409098275,10,3,0.9485842116563609
SPY,S&P 500,21%,$5,next_day,8.23218239510202,6,7,1.819829040444347
SPY,S&P 500,21%,$5,end_of_week,9.304370866550002,6,7,2.001243659715798
SPY,S&P 500,21%,$5,thirty_day,86.10081753309746,9,4,2.299671808296698
SPY,S&P 500,21%,$10,next_day,1.187834252743909,5,8,2.6125341489661413
SPY,S&P 500,21%,$10,end_of_week,-0.5627191590787551,6,7,3.193373894094947
SPY,S&P 500,21%,$10,thirty_day,86.17571730592243,9,4,4.3613937351850085
IWM,Russell 2000,30%,$2,next_day,7.296989799525153,6,7,0.7971227301941534
IWM,Russell 2000,30%,$2,end_of_week,24.601746970394597,7,6,0.8553082539531818
IWM,Russell 2000,30%,$2,thirty_day,37.32151925310277,8,5,0.955125981001676
IWM,Russell 2000,30%,$5,next_day,46.53658595178943,6,7,1.3882296957090183
IWM,Russell 2000,30%,$5,end_of_week,53.15460628591894,7,6,1.6722662499663987
IWM,Russell 2000,30%,$5,thirty_day,45.332259696540916,8,5,2.255336342024442
IWM,Russell 2000,30%,$10,next_day,50.175807390921136,6,7,1.5880702783641212
IWM,Russell 2000,30%,$10,end_of_week,42.95966773918585,6,7,2.215492082456261
IWM,Russell 2000,30%,$10,thirty_day,39.773083789869915,8,5,4.075637951083797
XLF,Financials,31%,$1,next_day,7.1128266991285205,7,6,0.2828024597646969
XLF,Financials,31%,$1,end_of_week,11.99802253005479,6,7,0.33846510386021833
XLF,Financials,31%,$1,thirty_day,189.71749636703495,12,1,0.45123277235881293
XLF,Financials,31%,$2,next_day,5.3676103720770625,6,7,0.3355616854024707
XLF,Financials,31%,$2,end_of_week,1.1672069139629893,6,7,0.4584514766174262
XLF,Financials,31%,$2,thirty_day,154.13293503105797,11,2,0.8197878536101412
XLF,Financials,31%,$5,next_day,4.043760359729859,6,7,0.3393273920424512
XLF,Financials,31%,$5,end_of_week,-3.9257142513435683,6,7,0.49632311589535294
XLF,Financials,31%,$5,thirty_day,49.283126982235615,9,4,1.4894324024594765
TQQQ,3x Nasdaq,85%,$2,next_day,-1.3231122974350003,6,7,0.668586335631071
TQQQ,3x Nasdaq,85%,$2,end_of_week,33.31336442764805,7,6,0.7699029553097849
TQQQ,3x Nasdaq,85%,$2,thirty_day,107.9017532787098,10,3,0.9995425047652566
TQQQ,3x Nasdaq,85%,$5,next_day,8.445848129568404,5,8,0.8990354491373735
TQQQ,3x Nasdaq,85%,$5,end_of_week,15.354005310713356,6,7,1.2337332117840976
TQQQ,3x Nasdaq,85%,$5,thirty_day,61.31745414797377,8,5,2.2595363202283463
TQQQ,3x Nasdaq,85%,$10,next_day,6.572754969465386,5,8,0.910617742358325
TQQQ,3x Nasdaq,85%,$10,end_of_week,5.257368669954114,5,8,1.3434784195109826
TQQQ,3x Nasdaq,85%,$10,thirty_day,0.7765841002695378,7,6,3.729761864338661
TNA,3x Russell,107%,$2,next_day,12.072499875344104,6,7,0.7380121928136314
TNA,3x Russell,107%,$2,end_of_week,21.324087948607076,7,6,0.8215784236048029
TNA,3x Russell,107%,$2,thirty_day,40.25530002945856,8,5,1.0371408269903086
TNA,3x Russell,107%,$5,next_day,21.76572295931469,6,7,1.1166378049358507
TNA,3x Russell,107%,$5,end_of_week,17.306928742278455,6,7,1.4537015287494452
TNA,3x Russell,107%,$5,thirty_day,31.218153110197015,8,5,2.405550081578544
TNA,3x Russell,107%,$10,next_day,14.39964267012768,6,7,1.1656369286656227
TNA,3x Russell,107%,$10,end_of_week,5.102127285616822,6,7,1.7010592924198435
TNA,3x Russell,107%,$10,thirty_day,-0.860952077067268,6,7,4.175302942053974
SPXL,3x S&P,78%,$2,next_day,23.59311642317398,8,5,0.928504714592773
SPXL,3x S&P,78%,$2,end_of_week,3.799614072385593,7,6,0.9558783961872439
SPXL,3x S&P,78%,$2,thirty_day,65.2404705015251,10,3,1.0435588698291554
SPXL,3x S&P,78%,$5,next_day,-0.27889159855231993,6,7,2.0028958888823234
SPXL,3x S&P,78%,$5,end_of_week,4.489517470146326,6,7,2.1600869755098153
SPXL,3x S&P,78%,$5,thirty_day,69.8689599803749,10,3,2.5490913854760353
SPXL,3x S&P,78%,$10,next_day,-15.001424945341249,4,9,3.0611959493153598
SPXL,3x S&P,78%,$10,end_of_week,-8.615679305377009,6,7,3.6013914673326584
SPXL,3x S&P,78%,$10,thirty_day,68.96496800161083,9,4,4.896792601545527
SMH,Semiconductors,50%,$5,next_day,7.622236226310604,6,7,2.0239841904485796
SMH,Semiconductors,50%,$5,end_of_week,27.1334062968005,7,6,2.165297310224025
SMH,Semiconductors,50%,$5,thirty_day,-16.418610295891327,6,7,2.4714524316456012
SMH,Semiconductors,50%,$10,next_day,13.800688805074678,6,7,3.2050755031469262
SMH,Semiconductors,50%,$10,end_of_week,38.93597639464738,7,6,3.6983610936202473
SMH,Semiconductors,50%,$10,thirty_day,-18.88886618624283,6,7,4.768328934166566
SMH,Semiconductors,50%,$20,next_day,1.0830628247412533,6,7,4.008170152418259
SMH,Semiconductors,50%,$20,end_of_week,2.5237353338082467,7,6,5.321774377730354
SMH,Semiconductors,50%,$20,thirty_day,-36.27055127405159,4,9,8.838276961886136
KRE,Regional Banks,45%,$2,next_day,-31.07669212637536,4,9,0.5679207176293039
KRE,Regional Banks,45%,$2,end_of_week,10.71054049241281,6,7,0.6726438491931483
KRE,Regional Banks,45%,$2,thirty_day,18.03150405582442,8,5,0.9282535180298522
KRE,Regional Banks,45%,$5,next_day,-33.21436922623363,4,9,0.6504013343147588
KRE,Regional Banks,45%,$5,end_of_week,-14.263340577506067,6,7,0.9273192477462451
KRE,Regional Banks,45%,$5,thirty_day,8.342107006979626,5,8,1.9851663308727547
KRE,Regional Banks,45%,$10,next_day,-33.20022876295556,4,9,0.6507525985241045
KRE,Regional Banks,45%,$10,end_of_week,-16.729697698304022,6,7,0.9523748795100218
KRE,Regional Banks,45%,$10,thirty_day,2.0102177471250764,5,8,2.9677221183562974
